context: This is... response:	We've been gathering what are thought to be weapons
context: This is...\We've been gathering what are thought to be weapons response:	from among the sacred relics that have been brought up.
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up. response:	I-It's a mountain of treasure!
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure! response:	Their restoration is your sacred duty.
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty. response:	Easy for you to say! I'm good, but what am I supposed to do without any clues...
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues... response:	What's this?
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this? response:	I can see their insides!
context: This is...\We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides! response:	How awesome is that?!
context: We've been gathering what are thought to be weapons\from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides!\How awesome is that?! response:	You may do as you wish with the items that are of no use as arms.
context: from among the sacred relics that have been brought up.\I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms. response:	What?!
context: I-It's a mountain of treasure!\Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?! response:	Alright! Y-You can count on me!
context: Their restoration is your sacred duty.\Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me! response:	We will.
context: Easy for you to say! I'm good, but what am I supposed to do without any clues...\What's this?\I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me!\We will. response:	This is really somethin'!
context: What's this?\I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me!\We will.\This is really somethin'! response:	You come at a cheap price.
context: I can see their insides!\How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me!\We will.\This is really somethin'!\You come at a cheap price. response:	Did you say somethin'?
context: How awesome is that?!\You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me!\We will.\This is really somethin'!\You come at a cheap price.\Did you say somethin'? response:	I said that you come at a cheap price.
context: You may do as you wish with the items that are of no use as arms.\What?!\Alright! Y-You can count on me!\We will.\This is really somethin'!\You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price. response:	Satisfied with what you're given...
context: What?!\Alright! Y-You can count on me!\We will.\This is really somethin'!\You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given... response:	I thought you were a man with a little more backbone...
context: Alright! Y-You can count on me!\We will.\This is really somethin'!\You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone... response:	What's this now? What do you wanna say?!
context: We will.\This is really somethin'!\You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?! response:	That flying Yunboro...
context: This is really somethin'!\You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro... response:	What about the tin can?
context: You come at a cheap price.\Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can? response:	I need to be able to borrow its power, you see...
context: Did you say somethin'?\I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see... response:	I'm not seeing where this is going...
context: I said that you come at a cheap price.\Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going... response:	Actually, I've grown rather tired of this fleet's methods.
context: Satisfied with what you're given...\I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods. response:	I'm returning to the pirate trade.
context: I thought you were a man with a little more backbone...\What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade. response:	Right after this fleet's at the bottom of the sea...
context: What's this now? What do you wanna say?!\That flying Yunboro...\What about the tin can?\I need to be able to borrow its power, you see...\I'm not seeing where this is going...\Actually, I've grown rather tired of this fleet's methods.\I'm returning to the pirate trade.\Right after this fleet's at the bottom of the sea... response:	Commander.
