context: Elementary school response:	Middle school
context: Elementary school\Middle school response:	Episode 6
context: Elementary school\Middle school\Episode 6 response:	Friends
context: Elementary school\Middle school\Episode 6\Friends response:	Solved
context: Elementary school\Middle school\Episode 6\Friends\Solved response:	Zashiki warashi
context: Elementary school\Middle school\Episode 6\Friends\Solved\Zashiki warashi response:	Zashiki warashi.
context: Elementary school\Middle school\Episode 6\Friends\Solved\Zashiki warashi\Zashiki warashi. response:	I wasn't really disliked in elementary school,
context: Elementary school\Middle school\Episode 6\Friends\Solved\Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school, response:	though I didn't have any close friends either.
context: Middle school\Episode 6\Friends\Solved\Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either. response:	I was never really part of a clique.
context: Episode 6\Friends\Solved\Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique. response:	May I join?
context: Friends\Solved\Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique.\May I join? response:	I didn't notice you, Sawako-chan.
context: Solved\Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan. response:	Sure, let's play.
context: Zashiki warashi\Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan.\Sure, let's play. response:	One day, a classmate named Shino-chan said...
context: Zashiki warashi.\I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said... response:	Sadako!
context: I wasn't really disliked in elementary school,\though I didn't have any close friends either.\I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako! response:	She didn't mean to say that, but...
context: though I didn't have any close friends either.\I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but... response:	Sadako?
context: I was never really part of a clique.\May I join?\I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but...\Sadako? response:	Sadako.
context: May I join?\I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but...\Sadako?\Sadako. response:	Sadako.
context: I didn't notice you, Sawako-chan.\Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but...\Sadako?\Sadako.\Sadako. response:	And I became the Sadako girl.”
context: Sure, let's play.\One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but...\Sadako?\Sadako.\Sadako.\And I became the Sadako girl.” response:	Some people in my middle school thought it was funny.
context: One day, a classmate named Shino-chan said...\Sadako!\She didn't mean to say that, but...\Sadako?\Sadako.\Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny. response:	Sadako really does seem like she has a psychic aura.
context: Sadako!\She didn't mean to say that, but...\Sadako?\Sadako.\Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura. response:	I wouldn't be surprised if she does.
context: She didn't mean to say that, but...\Sadako?\Sadako.\Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does. response:	She really does.
context: Sadako?\Sadako.\Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does. response:	Before I knew it, I was the psychic aura girl.”
context: Sadako.\Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.” response:	And then, when I came to high school...
context: Sadako.\And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school... response:	I heard that Sadako has a psychic aura.
context: And I became the Sadako girl.”\Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura. response:	And if you lock eyes with her for 3 seconds, a week later...
context: Some people in my middle school thought it was funny.\Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later... response:	One rumor led to another, I guess.
context: Sadako really does seem like she has a psychic aura.\I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess. response:	Come to think of it, maybe I was fortunate.
context: I wouldn't be surprised if she does.\She really does.\Before I knew it, I was the psychic aura girl.”\And then, when I came to high school...\I heard that Sadako has a psychic aura.\And if you lock eyes with her for 3 seconds, a week later...\One rumor led to another, I guess.\Come to think of it, maybe I was fortunate. response:	I got a bit depressed at times, but I don't think I was ever really upset.
