context: In order to stop the out-of-control Laxus, response:	Erza, and even Mystogan, challenged him in battle.
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle. response:	But after an unexpected turn of events,
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events, response:	Erza headed to destroy the Thunder Palace on her own,
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own, response:	while Natsu and Laxus began a confrontation with the guild on the line!
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line! response:	Yo Ho! Steer that rudder! Hard to port!
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port! response:	Yo Ho! Our high-flyin' lives are every which way!
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way! response:	When the sun goes down, there's a bon voyage bash.
context: In order to stop the out-of-control Laxus,\Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash. response:	It ain't sad at all.
context: Erza, and even Mystogan, challenged him in battle.\But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all. response:	As long as we're alive, we'll meet again somewhere!
context: But after an unexpected turn of events,\Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere! response:	Blast straight through a headwind, set off!
context: Erza headed to destroy the Thunder Palace on her own,\while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off! response:	Stay strong until the tears dry up! A man gotta be tough.
context: while Natsu and Laxus began a confrontation with the guild on the line!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough. response:	Friends, friends, laugh one day!
context: Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day! response:	As proof of our strong, strong bonds!
context: Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds! response:	Now, grab that map to the shining future!
context: When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future! response:	Warren!
context: It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren! response:	Where is he?
context: As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren!\Where is he? response:	Damn it!
context: Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren!\Where is he?\Damn it! response:	Triple Dragon!
context: Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren!\Where is he?\Damn it!\Triple Dragon! response:	198...
context: Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren!\Where is he?\Damn it!\Triple Dragon!\198... response:	199...
context: As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Warren!\Where is he?\Damn it!\Triple Dragon!\198...\199... response:	If I want to destroy them all at once, I still need more...
context: Now, grab that map to the shining future!\Warren!\Where is he?\Damn it!\Triple Dragon!\198...\199...\If I want to destroy them all at once, I still need more... response:	I'm already out of magical power.
context: Warren!\Where is he?\Damn it!\Triple Dragon!\198...\199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power. response:	And I'm also out of time.
context: Where is he?\Damn it!\Triple Dragon!\198...\199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time. response:	What should I do?
context: Damn it!\Triple Dragon!\198...\199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time.\What should I do? response:	There's not even three minutes until the Thunder Palace activates!
context: Triple Dragon!\198...\199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates! response:	What'll you do, Natsu?
context: 198...\199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu? response:	Ain't nothing... gonna happen!
context: 199...\If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen! response:	Shut the hell up!
context: If I want to destroy them all at once, I still need more...\I'm already out of magical power.\And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up! response:	Unless I have another 100 blades...
context: I'm already out of magical power.\And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades... response:	I can't... simultaneously...
context: And I'm also out of time.\What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously... response:	Hey, can everyone hear me?
context: What should I do?\There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me? response:	Warren?
context: There's not even three minutes until the Thunder Palace activates!\What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me?\Warren? response:	This is an emergency!
context: What'll you do, Natsu?\Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me?\Warren?\This is an emergency! response:	Look up at the sky!
context: Ain't nothing... gonna happen!\Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me?\Warren?\This is an emergency!\Look up at the sky! response:	It's in my head?
context: Shut the hell up!\Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me?\Warren?\This is an emergency!\Look up at the sky!\It's in my head? response:	Telepathy?
context: Unless I have another 100 blades...\I can't... simultaneously...\Hey, can everyone hear me?\Warren?\This is an emergency!\Look up at the sky!\It's in my head?\Telepathy? response:	Wake up you lazy bums!
context: I can't... simultaneously...\Hey, can everyone hear me?\Warren?\This is an emergency!\Look up at the sky!\It's in my head?\Telepathy?\Wake up you lazy bums! response:	Warren?
context: Hey, can everyone hear me?\Warren?\This is an emergency!\Look up at the sky!\It's in my head?\Telepathy?\Wake up you lazy bums!\Warren? response:	The sky?
context: Warren?\This is an emergency!\Look up at the sky!\It's in my head?\Telepathy?\Wake up you lazy bums!\Warren?\The sky? response:	What the heck are those?
context: This is an emergency!\Look up at the sky!\It's in my head?\Telepathy?\Wake up you lazy bums!\Warren?\The sky?\What the heck are those? response:	And if there's anyone still fighting, hold up for now!
context: Look up at the sky!\It's in my head?\Telepathy?\Wake up you lazy bums!\Warren?\The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now! response:	What's this?
context: It's in my head?\Telepathy?\Wake up you lazy bums!\Warren?\The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this? response:	There's a voice in my head...
context: Telepathy?\Wake up you lazy bums!\Warren?\The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head... response:	That's Warren's telepathy.
context: Wake up you lazy bums!\Warren?\The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head...\That's Warren's telepathy. response:	He can speak directly into people's minds.
context: Warren?\The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds. response:	Listen up, everyone!
context: The sky?\What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone! response:	We gotta destroy those things floating in the sky with all the magic power we got!
context: What the heck are those?\And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got! response:	It's a magic spell from Laxus that'll attack the city!
context: And if there's anyone still fighting, hold up for now!\What's this?\There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city! response:	There's no time!
context: What's this?\There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time! response:	Everyone do it!
context: There's a voice in my head...\That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it! response:	What's this?
context: That's Warren's telepathy.\He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it!\What's this? response:	Those are Laxus's...
context: He can speak directly into people's minds.\Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it!\What's this?\Those are Laxus's... response:	Warren, why do you know about the Thunder Palace?
context: Listen up, everyone!\We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it!\What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace? response:	That voice... Erza?
context: We gotta destroy those things floating in the sky with all the magic power we got!\It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it!\What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza? response:	You're okay?
context: It's a magic spell from Laxus that'll attack the city!\There's no time!\Everyone do it!\What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay? response:	Gray!
context: There's no time!\Everyone do it!\What's this?\Those are Laxus's...\Warren, why do you know about the Thunder Palace?\That voice... Erza?\You're okay?\Gray! response:	I see, so it was you.
