context: Wood Shop response:	Wow, this is...
context: Wood Shop\Wow, this is... response:	Right?
context: Wood Shop\Wow, this is...\Right? response:	Doesn't it look awesome?
context: Wood Shop\Wow, this is...\Right?\Doesn't it look awesome? response:	Ready, and...
context: Wood Shop\Wow, this is...\Right?\Doesn't it look awesome?\Ready, and... response:	We did it!
context: Wood Shop\Wow, this is...\Right?\Doesn't it look awesome?\Ready, and...\We did it! response:	Episode Seven: The Ofunehiki Shakes
context: Wood Shop\Wow, this is...\Right?\Doesn't it look awesome?\Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes response:	You guys did a great job.
context: Wood Shop\Wow, this is...\Right?\Doesn't it look awesome?\Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job. response:	It's all thanks to me and Miuna.
context: Wow, this is...\Right?\Doesn't it look awesome?\Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna. response:	Really? You're actually saying that?
context: Right?\Doesn't it look awesome?\Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that? response:	This really is amazing.
context: Doesn't it look awesome?\Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing. response:	I'm touched.
context: Ready, and...\We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing.\I'm touched. response:	Right?
context: We did it!\Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing.\I'm touched.\Right? response:	We really worked hard.
context: Episode Seven: The Ofunehiki Shakes\You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing.\I'm touched.\Right?\We really worked hard. response:	It was a lot more fun than I thought it'd be.
context: You guys did a great job.\It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing.\I'm touched.\Right?\We really worked hard.\It was a lot more fun than I thought it'd be. response:	All right.
context: It's all thanks to me and Miuna.\Really? You're actually saying that?\This really is amazing.\I'm touched.\Right?\We really worked hard.\It was a lot more fun than I thought it'd be.\All right. response:	This calls for some popsicles.
context: Really? You're actually saying that?\This really is amazing.\I'm touched.\Right?\We really worked hard.\It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles. response:	Huh?
context: This really is amazing.\I'm touched.\Right?\We really worked hard.\It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles.\Huh? response:	I'll treat you guys!
context: I'm touched.\Right?\We really worked hard.\It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles.\Huh?\I'll treat you guys! response:	Do you want Gori Gori-kun pops or Homebase Bars?
context: Right?\We really worked hard.\It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles.\Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars? response:	So cheap!
context: We really worked hard.\It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles.\Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap! response:	Er, Sensei, it's too cold for popsicles today.
context: It was a lot more fun than I thought it'd be.\All right.\This calls for some popsicles.\Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today. response:	We even canceled swimming today.
context: All right.\This calls for some popsicles.\Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today. response:	Right...
context: This calls for some popsicles.\Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right... response:	But sadly, they don't sell meat buns this time of year.
context: Huh?\I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right...\But sadly, they don't sell meat buns this time of year. response:	I want to do the Ofunehiki...
context: I'll treat you guys!\Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right...\But sadly, they don't sell meat buns this time of year.\I want to do the Ofunehiki... response:	They said that in unison.
context: Do you want Gori Gori-kun pops or Homebase Bars?\So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right...\But sadly, they don't sell meat buns this time of year.\I want to do the Ofunehiki...\They said that in unison. response:	Hot damn!
context: So cheap!\Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right...\But sadly, they don't sell meat buns this time of year.\I want to do the Ofunehiki...\They said that in unison.\Hot damn! response:	Talk about close.
context: Er, Sensei, it's too cold for popsicles today.\We even canceled swimming today.\Right...\But sadly, they don't sell meat buns this time of year.\I want to do the Ofunehiki...\They said that in unison.\Hot damn!\Talk about close. response:	They've totally got the hots for each other.
