context: Starting tomorrow, I'm going to China for high-altitude training. response:	I wanted to encourage Kiyose before leaving Japan,
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan, response:	Famous Confections
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections response:	but I'm still not familiar with your home base.
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base. response:	Thanks for the escort.
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort. response:	Home base?
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort.\Home base? response:	They've got an exchange student?
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort.\Home base?\They've got an exchange student? response:	I know. I wish they'd run an all-Japanese team.
context: Starting tomorrow, I'm going to China for high-altitude training.\I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort.\Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team. response:	The school's probably paying for it to promote themselves.
context: I wanted to encourage Kiyose before leaving Japan,\Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort.\Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves. response:	They're the words of amateurs.
context: Famous Confections\but I'm still not familiar with your home base.\Thanks for the escort.\Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs. response:	Don't let them distract you.
context: but I'm still not familiar with your home base.\Thanks for the escort.\Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you. response:	I know how you feel.
context: Thanks for the escort.\Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you.\I know how you feel. response:	People have always dealt with that criticism.
context: Home base?\They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you.\I know how you feel.\People have always dealt with that criticism. response:	There are two reasons not to let it bother you.
context: They've got an exchange student?\I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you.\I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you. response:	First, there's the logic that recruiting an exchange student is unfair.
context: I know. I wish they'd run an all-Japanese team.\The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you.\I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair. response:	What about the Olympics then?
context: The school's probably paying for it to promote themselves.\They're the words of amateurs.\Don't let them distract you.\I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then? response:	It's only natural that there's some difference in individual physical ability.
context: They're the words of amateurs.\Don't let them distract you.\I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability. response:	Moreover, sports are fair and impartial.
context: Don't let them distract you.\I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial. response:	Those who question its fairness don't understand
context: I know how you feel.\People have always dealt with that criticism.\There are two reasons not to let it bother you.\First, there's the logic that recruiting an exchange student is unfair.\What about the Olympics then?\It's only natural that there's some difference in individual physical ability.\Moreover, sports are fair and impartial.\Those who question its fairness don't understand response:	what it means to compete in the same sport on the same stage.
