context: I'm back. response:	I spent my summer at a place in the mountains.
context: I'm back.\I spent my summer at a place in the mountains. response:	I beat up some cutesy couples at the tennis court,
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court, response:	Fought some grade schoolers over who
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who response:	would get their radio exercises card stamped first,
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first, response:	caught more stag beetles than I really should have...
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have... response:	Well, I guess I had good time, but...
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but... response:	I really would have liked it if you were there,
context: I'm back.\I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there, response:	Souta-kyun!
context: I spent my summer at a place in the mountains.\I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun! response:	Kyun! Kyun!
context: I beat up some cutesy couples at the tennis court,\Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun! response:	Shut up!
context: Fought some grade schoolers over who\would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun!\Shut up! response:	Oh, Hatate-kun, it's been a while.
context: would get their radio exercises card stamped first,\caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while. response:	I was sad, not being able to see you for a month.
context: caught more stag beetles than I really should have...\Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month. response:	Hello there.
context: Well, I guess I had good time, but...\I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there. response:	Hi there.
context: I really would have liked it if you were there,\Souta-kyun!\Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there.\Hi there. response:	Who is this?!
context: Souta-kyun!\Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there.\Hi there.\Who is this?! response:	If Her Flag Breaks
context: Kyun! Kyun!\Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there.\Hi there.\Who is this?!\If Her Flag Breaks response:	Flag 10
context: Shut up!\Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there.\Hi there.\Who is this?!\If Her Flag Breaks\Flag 10 response:	Hold This for Me. The Winner of the Beauty Contest is Written Here.
context: Oh, Hatate-kun, it's been a while.\I was sad, not being able to see you for a month.\Hello there.\Hi there.\Who is this?!\If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here. response:	Okay.
context: I was sad, not being able to see you for a month.\Hello there.\Hi there.\Who is this?!\If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay. response:	New friend
context: Hello there.\Hi there.\Who is this?!\If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend response:	We have a new friend for you all today.
context: Hi there.\Who is this?!\If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend\We have a new friend for you all today. response:	Clap, clap.
context: Who is this?!\If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend\We have a new friend for you all today.\Clap, clap. response:	I'm from the Principality of Bladefield,
context: If Her Flag Breaks\Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend\We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield, response:	Hakua B. Bladefield
context: Flag 10\Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend\We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield response:	the second crown princess, Hakua Berserker Bladefield,
context: Hold This for Me. The Winner of the Beauty Contest is Written Here.\Okay.\New friend\We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield, response:	I am.
context: Okay.\New friend\We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am. response:	She's more of a princess than Knight-san.
context: New friend\We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san. response:	I feel like I want to protect her more than Knight-san.
context: We have a new friend for you all today.\Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san. response:	She smells better than Knight-san.
context: Clap, clap.\I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san. response:	She's a real princess.
context: I'm from the Principality of Bladefield,\Hakua B. Bladefield\the second crown princess, Hakua Berserker Bladefield,\I am.\She's more of a princess than Knight-san.\I feel like I want to protect her more than Knight-san.\She smells better than Knight-san.\She's a real princess. response:	I'm a real princess, too!
