context: Seriously, I was about to lose it. response:	Who would ruin a school trip like that?
context: Seriously, I was about to lose it.\Who would ruin a school trip like that? response:	It's so hot.
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot. response:	He's really not thinking about how I feel.
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel. response:	He's not thinking about anything.
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything. response:	It's unbelievable.
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable. response:	What's up?
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable.\What's up? response:	Huh? N-Nothing.
context: Seriously, I was about to lose it.\Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable.\What's up?\Huh? N-Nothing. response:	No one else knows, but Azumi-kun and I have started dating.
context: Who would ruin a school trip like that?\It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable.\What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating. response:	Are you taking this seriously?
context: It's so hot.\He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable.\What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously? response:	Your proficiency test scores will determine your future after middle school.
context: He's really not thinking about how I feel.\He's not thinking about anything.\It's unbelievable.\What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school. response:	Pardon me.
context: He's not thinking about anything.\It's unbelievable.\What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me. response:	You know...
context: It's unbelievable.\What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me.\You know... response:	I believe in you, Azumi-kun.
context: What's up?\Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me.\You know...\I believe in you, Azumi-kun. response:	But you might not get into the high school of your choice if you get a late start.
context: Huh? N-Nothing.\No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me.\You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start. response:	His hair's not curling up.
context: No one else knows, but Azumi-kun and I have started dating.\Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me.\You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up. response:	Excuse me.
context: Are you taking this seriously?\Your proficiency test scores will determine your future after middle school.\Pardon me.\You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me. response:	Your hair's not curly today.
context: Your proficiency test scores will determine your future after middle school.\Pardon me.\You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me.\Your hair's not curly today. response:	Is something wrong?
context: Pardon me.\You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me.\Your hair's not curly today.\Is something wrong? response:	Just kidding.
context: You know...\I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me.\Your hair's not curly today.\Is something wrong?\Just kidding. response:	Aren't you in the literature club?
context: I believe in you, Azumi-kun.\But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me.\Your hair's not curly today.\Is something wrong?\Just kidding.\Aren't you in the literature club? response:	Yeah.
context: But you might not get into the high school of your choice if you get a late start.\His hair's not curling up.\Excuse me.\Your hair's not curly today.\Is something wrong?\Just kidding.\Aren't you in the literature club?\Yeah. response:	I'm in trouble with language arts.
context: His hair's not curling up.\Excuse me.\Your hair's not curly today.\Is something wrong?\Just kidding.\Aren't you in the literature club?\Yeah.\I'm in trouble with language arts. response:	Do you know of any good cram schools?
context: Excuse me.\Your hair's not curly today.\Is something wrong?\Just kidding.\Aren't you in the literature club?\Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools? response:	The one I go to isn't too bad.
context: Your hair's not curly today.\Is something wrong?\Just kidding.\Aren't you in the literature club?\Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad. response:	Really?
context: Is something wrong?\Just kidding.\Aren't you in the literature club?\Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad.\Really? response:	One, two, three, four...
context: Just kidding.\Aren't you in the literature club?\Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad.\Really?\One, two, three, four... response:	Five, six, seven, eight...
context: Aren't you in the literature club?\Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad.\Really?\One, two, three, four...\Five, six, seven, eight... response:	Two, two, three, four...
context: Yeah.\I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad.\Really?\One, two, three, four...\Five, six, seven, eight...\Two, two, three, four... response:	Five, six, seven, eight...
context: I'm in trouble with language arts.\Do you know of any good cram schools?\The one I go to isn't too bad.\Really?\One, two, three, four...\Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight... response:	Chinatsu?
context: Do you know of any good cram schools?\The one I go to isn't too bad.\Really?\One, two, three, four...\Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight...\Chinatsu? response:	What's up?
context: The one I go to isn't too bad.\Really?\One, two, three, four...\Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight...\Chinatsu?\What's up? response:	Nothing.
context: Really?\One, two, three, four...\Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight...\Chinatsu?\What's up?\Nothing. response:	Huh...
context: One, two, three, four...\Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight...\Chinatsu?\What's up?\Nothing.\Huh... response:	Mizuno, Nishio. Here.
context: Five, six, seven, eight...\Two, two, three, four...\Five, six, seven, eight...\Chinatsu?\What's up?\Nothing.\Huh...\Mizuno, Nishio. Here. response:	What's that?
context: Two, two, three, four...\Five, six, seven, eight...\Chinatsu?\What's up?\Nothing.\Huh...\Mizuno, Nishio. Here.\What's that? response:	The sprint training plan.
context: Five, six, seven, eight...\Chinatsu?\What's up?\Nothing.\Huh...\Mizuno, Nishio. Here.\What's that?\The sprint training plan. response:	We're going with this until the meet.
context: Chinatsu?\What's up?\Nothing.\Huh...\Mizuno, Nishio. Here.\What's that?\The sprint training plan.\We're going with this until the meet. response:	Jeez, that's rough.
context: What's up?\Nothing.\Huh...\Mizuno, Nishio. Here.\What's that?\The sprint training plan.\We're going with this until the meet.\Jeez, that's rough. response:	All right!
context: Nothing.\Huh...\Mizuno, Nishio. Here.\What's that?\The sprint training plan.\We're going with this until the meet.\Jeez, that's rough.\All right! response:	You sure are pumped up.
context: Huh...\Mizuno, Nishio. Here.\What's that?\The sprint training plan.\We're going with this until the meet.\Jeez, that's rough.\All right!\You sure are pumped up. response:	It's our last summer.
context: Mizuno, Nishio. Here.\What's that?\The sprint training plan.\We're going with this until the meet.\Jeez, that's rough.\All right!\You sure are pumped up.\It's our last summer. response:	Let's do this, Akane.
context: What's that?\The sprint training plan.\We're going with this until the meet.\Jeez, that's rough.\All right!\You sure are pumped up.\It's our last summer.\Let's do this, Akane. response:	Yeah.
context: The sprint training plan.\We're going with this until the meet.\Jeez, that's rough.\All right!\You sure are pumped up.\It's our last summer.\Let's do this, Akane.\Yeah. response:	Thank you very much.
context: We're going with this until the meet.\Jeez, that's rough.\All right!\You sure are pumped up.\It's our last summer.\Let's do this, Akane.\Yeah.\Thank you very much. response:	Thank you very much.
context: Jeez, that's rough.\All right!\You sure are pumped up.\It's our last summer.\Let's do this, Akane.\Yeah.\Thank you very much.\Thank you very much. response:	Good work.
context: All right!\You sure are pumped up.\It's our last summer.\Let's do this, Akane.\Yeah.\Thank you very much.\Thank you very much.\Good work. response:	The adults are up next.
context: You sure are pumped up.\It's our last summer.\Let's do this, Akane.\Yeah.\Thank you very much.\Thank you very much.\Good work.\The adults are up next. response:	Hey...
context: It's our last summer.\Let's do this, Akane.\Yeah.\Thank you very much.\Thank you very much.\Good work.\The adults are up next.\Hey... response:	Yeah?
context: Let's do this, Akane.\Yeah.\Thank you very much.\Thank you very much.\Good work.\The adults are up next.\Hey...\Yeah? response:	I'm thinking about the next story.
context: Yeah.\Thank you very much.\Thank you very much.\Good work.\The adults are up next.\Hey...\Yeah?\I'm thinking about the next story. response:	How are things going?
context: Thank you very much.\Thank you very much.\Good work.\The adults are up next.\Hey...\Yeah?\I'm thinking about the next story.\How are things going? response:	What things?
context: Thank you very much.\Good work.\The adults are up next.\Hey...\Yeah?\I'm thinking about the next story.\How are things going?\What things? response:	Studying for entrance exams and stuff.
context: Good work.\The adults are up next.\Hey...\Yeah?\I'm thinking about the next story.\How are things going?\What things?\Studying for entrance exams and stuff. response:	Dunno.
context: The adults are up next.\Hey...\Yeah?\I'm thinking about the next story.\How are things going?\What things?\Studying for entrance exams and stuff.\Dunno. response:	So?
context: Hey...\Yeah?\I'm thinking about the next story.\How are things going?\What things?\Studying for entrance exams and stuff.\Dunno.\So? response:	There's something I wanted to ask you.
context: Yeah?\I'm thinking about the next story.\How are things going?\What things?\Studying for entrance exams and stuff.\Dunno.\So?\There's something I wanted to ask you. response:	What's that?
context: I'm thinking about the next story.\How are things going?\What things?\Studying for entrance exams and stuff.\Dunno.\So?\There's something I wanted to ask you.\What's that? response:	What are you supposed to do when you're in a relationship?
context: How are things going?\What things?\Studying for entrance exams and stuff.\Dunno.\So?\There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship? response:	For my novel!
context: What things?\Studying for entrance exams and stuff.\Dunno.\So?\There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship?\For my novel! response:	Really?
context: Studying for entrance exams and stuff.\Dunno.\So?\There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship?\For my novel!\Really? response:	Jeez...
context: Dunno.\So?\There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship?\For my novel!\Really?\Jeez... response:	Sorry.
context: So?\There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship?\For my novel!\Really?\Jeez...\Sorry. response:	Middle School Dating
context: There's something I wanted to ask you.\What's that?\What are you supposed to do when you're in a relationship?\For my novel!\Really?\Jeez...\Sorry.\Middle School Dating response:	Things you shouldn't do in a relationship
context: What's that?\What are you supposed to do when you're in a relationship?\For my novel!\Really?\Jeez...\Sorry.\Middle School Dating\Things you shouldn't do in a relationship response:	Dating is so hard.
context: What are you supposed to do when you're in a relationship?\For my novel!\Really?\Jeez...\Sorry.\Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard. response:	Oh, stop it.
context: For my novel!\Really?\Jeez...\Sorry.\Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it. response:	Goodnight.
context: Really?\Jeez...\Sorry.\Middle School Dating\Things you shouldn't do in a relationship\Dating is so hard.\Oh, stop it.\Goodnight. response:	Nee-chan.
