context: True Calendar year 71. response:	In this year, which would later come be known as the first year of the Third Galactic Empire,
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire, response:	humanity was in the midst of expanding its sphere of activity beyond Earth.
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth. response:	The development of Dyson Spheres accelerated humanity's progress into space,
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space, response:	and 70 of the total population now resides in space.
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space. response:	This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration response:	This is GS2776 flight 21. Requesting docking clearance.
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance. response:	Registry confirmed.
context: True Calendar year 71.\In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed. response:	You are cleared to dock.
context: In this year, which would later come be known as the first year of the Third Galactic Empire,\humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock. response:	You are carrying two transfer students for Sakimori Academy, is that correct?
context: humanity was in the midst of expanding its sphere of activity beyond Earth.\The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct? response:	Yes, that is correct.
context: The development of Dyson Spheres accelerated humanity's progress into space,\and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct. response:	Wash it down with water!
context: and 70 of the total population now resides in space.\This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water! response:	Prove your manliness, Haruto!
context: This is JIOR Sphere No. 1, Module 77. Please transmit your country of registration\This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto! response:	Don't lose, Shoko!
context: This is GS2776 flight 21. Requesting docking clearance.\Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko! response:	This is still neck and neck!
context: Registry confirmed.\You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck! response:	You can do it, Tokishima!
context: You are cleared to dock.\You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima! response:	Keep up the pace!
context: You are carrying two transfer students for Sakimori Academy, is that correct?\Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima!\Keep up the pace! response:	We're on the home stretch!
context: Yes, that is correct.\Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima!\Keep up the pace!\We're on the home stretch! response:	Finish'em off!
context: Wash it down with water!\Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima!\Keep up the pace!\We're on the home stretch!\Finish'em off! response:	This is quite a ruckus.
context: Prove your manliness, Haruto!\Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima!\Keep up the pace!\We're on the home stretch!\Finish'em off!\This is quite a ruckus. response:	It's apparently an eating contest to decide who gets to use the school field.
context: Don't lose, Shoko!\This is still neck and neck!\You can do it, Tokishima!\Keep up the pace!\We're on the home stretch!\Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field. response:	I can't believe high schoolers would still be fighting over who gets to use the track...
context: This is still neck and neck!\You can do it, Tokishima!\Keep up the pace!\We're on the home stretch!\Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track... response:	I think it's fine. At least it's peaceful.
context: You can do it, Tokishima!\Keep up the pace!\We're on the home stretch!\Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful. response:	Haruto!
context: Keep up the pace!\We're on the home stretch!\Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto! response:	We were counting on you, man...
context: We're on the home stretch!\Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man... response:	Way to blow it, Haruto...
context: Finish'em off!\This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man...\Way to blow it, Haruto... response:	I told you I didn't want to do it...
context: This is quite a ruckus.\It's apparently an eating contest to decide who gets to use the school field.\I can't believe high schoolers would still be fighting over who gets to use the track...\I think it's fine. At least it's peaceful.\Haruto!\We were counting on you, man...\Way to blow it, Haruto...\I told you I didn't want to do it... response:	Didn't matter. We rock-paper-scissored for it, and you lost.
