context: The beach! response:	Take this!
context: The beach!\Take this! response:	What? You're not swimming?
context: The beach!\Take this!\What? You're not swimming? response:	I don't wanna get sunburned.
context: The beach!\Take this!\What? You're not swimming?\I don't wanna get sunburned. response:	Why not?
context: The beach!\Take this!\What? You're not swimming?\I don't wanna get sunburned.\Why not? response:	Nakochi said
context: The beach!\Take this!\What? You're not swimming?\I don't wanna get sunburned.\Why not?\Nakochi said response:	that you bought a really cute swimsuit.
context: The beach!\Take this!\What? You're not swimming?\I don't wanna get sunburned.\Why not?\Nakochi said\that you bought a really cute swimsuit. response:	Come on, we came all the way out here too...
context: The beach!\Take this!\What? You're not swimming?\I don't wanna get sunburned.\Why not?\Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too... response:	Oh, I get it!
context: Take this!\What? You're not swimming?\I don't wanna get sunburned.\Why not?\Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it! response:	You don't wanna show anyone other than Tohru, right?
context: What? You're not swimming?\I don't wanna get sunburned.\Why not?\Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right? response:	Y-Y-You balut!
context: I don't wanna get sunburned.\Why not?\Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut! response:	I'm never gonna escape that word, am I?
context: Why not?\Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I? response:	Aren't you two going to swim?
context: Nakochi said\that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim? response:	Minchi doesn't wanna get sun-
context: that you bought a really cute swimsuit.\Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun- response:	T-That's so cute!
context: Come on, we came all the way out here too...\Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute! response:	That's such a waste, Tsurugi.
context: Oh, I get it!\You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi. response:	We didn't travel all this way on this field trip for nothing, you know.
context: You don't wanna show anyone other than Tohru, right?\Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know. response:	Mind your own business.
