context: A giant, centipede-like demon pulled me... response:	into the depths of the Hidden Well in the shrine.
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine. response:	I'm just a girl in her third year in middle school...
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school... response:	and nothing this strange has EVER happened to me before.
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before. response:	A youth was held fast to the Sacred Tree with arrows...
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows... response:	Inuyasha was his name, I think...
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think... response:	An eternal spell to hold him there had been cast.
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast. response:	But it was broken.
context: A giant, centipede-like demon pulled me...\into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken. response:	Demons now seek to possess something known as the Sacred Jewel.
context: into the depths of the Hidden Well in the shrine.\I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel. response:	This Sacred Jewel has appeared once again in the era of the Warring States.
context: I'm just a girl in her third year in middle school...\and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States. response:	Iron Reaver, Soul Stealer!
context: and nothing this strange has EVER happened to me before.\A youth was held fast to the Sacred Tree with arrows...\Inuyasha was his name, I think...\An eternal spell to hold him there had been cast.\But it was broken.\Demons now seek to possess something known as the Sacred Jewel.\This Sacred Jewel has appeared once again in the era of the Warring States.\Iron Reaver, Soul Stealer! response:	Why was it inside my body?
