context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY response:	Excuse me.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me. response:	Care for a drink?
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink? response:	No, not right now.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink?\No, not right now. response:	All right.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink?\No, not right now.\All right. response:	After all, you're not in the military anymore.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink?\No, not right now.\All right.\After all, you're not in the military anymore. response:	You're a civilian business owner now.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink?\No, not right now.\All right.\After all, you're not in the military anymore.\You're a civilian business owner now. response:	Business is thriving for you, I hear.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE ARMY\Excuse me.\Care for a drink?\No, not right now.\All right.\After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear. response:	Thank you.
context: Excuse me.\Care for a drink?\No, not right now.\All right.\After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you. response:	But, what happens if another war breaks out?
context: Care for a drink?\No, not right now.\All right.\After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out? response:	With the North?
context: No, not right now.\All right.\After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out?\With the North? response:	Precisely.
context: All right.\After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out?\With the North?\Precisely. response:	Among the Northern Alliance countries led by the Gardarik Empire,
context: After all, you're not in the military anymore.\You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out?\With the North?\Precisely.\Among the Northern Alliance countries led by the Gardarik Empire, response:	there are forces who oppose the peace agreement.
context: You're a civilian business owner now.\Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out?\With the North?\Precisely.\Among the Northern Alliance countries led by the Gardarik Empire,\there are forces who oppose the peace agreement. response:	I'm sure you are familiar with Drossel's published love letters.
context: Business is thriving for you, I hear.\Thank you.\But, what happens if another war breaks out?\With the North?\Precisely.\Among the Northern Alliance countries led by the Gardarik Empire,\there are forces who oppose the peace agreement.\I'm sure you are familiar with Drossel's published love letters. response:	Drossel was one of us, a member of the Southern Union.
context: Thank you.\But, what happens if another war breaks out?\With the North?\Precisely.\Among the Northern Alliance countries led by the Gardarik Empire,\there are forces who oppose the peace agreement.\I'm sure you are familiar with Drossel's published love letters.\Drossel was one of us, a member of the Southern Union. response:	That's right. Drossel and Fluegel.
