context: Quit screwin' around, Laxus! response:	Get serious!
context: Quit screwin' around, Laxus!\Get serious! response:	What's he doing?
context: Quit screwin' around, Laxus!\Get serious!\What's he doing? response:	Laxus is getting beaten up?
context: Quit screwin' around, Laxus!\Get serious!\What's he doing?\Laxus is getting beaten up? response:	Something doesn't feel right about this...
context: Quit screwin' around, Laxus!\Get serious!\What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this... response:	I don't sense anything
context: Quit screwin' around, Laxus!\Get serious!\What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything response:	coming from that Alexei-san, though...
context: Quit screwin' around, Laxus!\Get serious!\What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though... response:	Oh, boy! What a one-sided development!
context: Quit screwin' around, Laxus!\Get serious!\What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development! response:	Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!
context: Get serious!\What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?! response:	It's devastating, really... He's showing such great strength.
context: What's he doing?\Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength. response:	And yet I'm not sensing much magic power.
context: Laxus is getting beaten up?\Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power. response:	Perhaps it means he's not going all out yet?
context: Something doesn't feel right about this...\I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet? response:	Is that really Laxus?
context: I don't sense anything\coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus? response:	The impression I got of him from you is totally different, Happy.
context: coming from that Alexei-san, though...\Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy. response:	He does have a connection with that guild's master, so maybe it's making him hesitant.
context: Oh, boy! What a one-sided development!\Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant. response:	This isn't like you,
context: Is this as far as it goes for Fairy Tail B team and Laxus's tale of triumph?!\It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you, response:	Laxus!
context: It's devastating, really... He's showing such great strength.\And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus! response:	Anti-Fairy Tail guild?
context: And yet I'm not sensing much magic power.\Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus!\Anti-Fairy Tail guild? response:	That's right!
context: Perhaps it means he's not going all out yet?\Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus!\Anti-Fairy Tail guild?\That's right! response:	Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.
context: Is that really Laxus?\The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus!\Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses. response:	And the four of us are the guild's elite.
context: The impression I got of him from you is totally different, Happy.\He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus!\Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite. response:	Do you intend to go to war with us?
context: He does have a connection with that guild's master, so maybe it's making him hesitant.\This isn't like you,\Laxus!\Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us? response:	We know every detail of your weaknesses.
context: This isn't like you,\Laxus!\Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us?\We know every detail of your weaknesses. response:	Shall I release the power that my guild has been accumulating these past seven years?
context: Laxus!\Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us?\We know every detail of your weaknesses.\Shall I release the power that my guild has been accumulating these past seven years? response:	Gramps has already done a thorough investigation of you.
context: Anti-Fairy Tail guild?\That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us?\We know every detail of your weaknesses.\Shall I release the power that my guild has been accumulating these past seven years?\Gramps has already done a thorough investigation of you. response:	Ivan...
context: That's right!\Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us?\We know every detail of your weaknesses.\Shall I release the power that my guild has been accumulating these past seven years?\Gramps has already done a thorough investigation of you.\Ivan... response:	Laxus...
context: Made up of Wizards who are masters at all of the Fairy Tail members' weaknesses.\And the four of us are the guild's elite.\Do you intend to go to war with us?\We know every detail of your weaknesses.\Shall I release the power that my guild has been accumulating these past seven years?\Gramps has already done a thorough investigation of you.\Ivan...\Laxus... response:	Wendy vs. Cheria!
