context: Oh, is that so? So that's what happened, huh? response:	Mm-hmm. I really thought we were done for.
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for. response:	You should eat something. It may not be that good, but feel free to help yourself.
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself. response:	What was that?
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that? response:	You're complaining about the food that I made, after all you've eaten!?
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!? response:	Eh!?
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!? response:	N- no, I- I would never-!
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-! response:	I meant that it may not be that good, but it's still delicious.
context: Oh, is that so? So that's what happened, huh?\Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious. response:	I don't blame him. Just about everyone from his village has been killed, right?
context: Mm-hmm. I really thought we were done for.\You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right? response:	Oh, right. This isn't the right time for a meal, huh?
context: You should eat something. It may not be that good, but feel free to help yourself.\What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh? response:	We don't eat things like this. We just need to drink water.
context: What was that?\You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water. response:	No way! There were fields at your village
context: You're complaining about the food that I made, after all you've eaten!?\Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village response:	where you were raising vegetables or something, weren't there?
context: Eh!?\N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there? response:	Those were Ajissa seedlings.
context: N- no, I- I would never-!\I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings. response:	Ajissa seedlings?
context: I meant that it may not be that good, but it's still delicious.\I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings? response:	Yes. Long ago, before the abnormal weather occurred,
context: I don't blame him. Just about everyone from his village has been killed, right?\Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred, response:	Namek was said to be a beautiful world, rich with Ajissa trees.
context: Oh, right. This isn't the right time for a meal, huh?\We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees. response:	However...
