context: Chance ball! response:	Left!
context: Chance ball!\Left! response:	The final set...
context: Chance ball!\Left!\The final set... response:	Win! Then win some more!
context: Chance ball!\Left!\The final set...\Win! Then win some more! response:	If we lose this...
context: Chance ball!\Left!\The final set...\Win! Then win some more!\If we lose this... response:	It'll be over.
context: Chance ball!\Left!\The final set...\Win! Then win some more!\If we lose this...\It'll be over. response:	Haikyu!!
context: Chance ball!\Left!\The final set...\Win! Then win some more!\If we lose this...\It'll be over.\Haikyu!! response:	Episode 23: The Point that Changes the Momentum
context: Chance ball!\Left!\The final set...\Win! Then win some more!\If we lose this...\It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum response:	Nice receive!
context: Left!\The final set...\Win! Then win some more!\If we lose this...\It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive! response:	10!
context: The final set...\Win! Then win some more!\If we lose this...\It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive!\10! response:	They've probably changed to different signs for their god-like quicks.
context: Win! Then win some more!\If we lose this...\It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive!\10!\They've probably changed to different signs for their god-like quicks. response:	Because they're such simple signs, it would be pretty easy to change them.
context: If we lose this...\It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive!\10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them. response:	Still, there's got to be a way to tell them apart.
context: It'll be over.\Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive!\10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart. response:	Maybe when they keep their eye on the ball longer, it's a normal quick,
context: Haikyu!!\Episode 23: The Point that Changes the Momentum\Nice receive!\10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick, response:	and when they just go for it, it'll be the god-like quick?
context: Episode 23: The Point that Changes the Momentum\Nice receive!\10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick? response:	In general, it's probably best if we keep our eyes on 10.
context: Nice receive!\10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10. response:	Right.
context: 10!\They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right. response:	10...
context: They've probably changed to different signs for their god-like quicks.\Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right.\10... response:	But, in the end, the shrimp is just efficient decoy.
context: Because they're such simple signs, it would be pretty easy to change them.\Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right.\10...\But, in the end, the shrimp is just efficient decoy. response:	Don't forget that. Okay?
context: Still, there's got to be a way to tell them apart.\Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right.\10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay? response:	Right!
context: Maybe when they keep their eye on the ball longer, it's a normal quick,\and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right.\10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right! response:	Right!
context: and when they just go for it, it'll be the god-like quick?\In general, it's probably best if we keep our eyes on 10.\Right.\10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right!\Right! response:	All right!
context: In general, it's probably best if we keep our eyes on 10.\Right.\10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right!\Right!\All right! response:	We can't get the shot that will end this.
context: Right.\10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right!\Right!\All right!\We can't get the shot that will end this. response:	This rally is going on forever.
context: 10...\But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right!\Right!\All right!\We can't get the shot that will end this.\This rally is going on forever. response:	Overall, Seijoh's better at everything, but...
context: But, in the end, the shrimp is just efficient decoy.\Don't forget that. Okay?\Right!\Right!\All right!\We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but... response:	A feint!
context: Don't forget that. Okay?\Right!\Right!\All right!\We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint! response:	All right!
context: Right!\Right!\All right!\We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint!\All right! response:	Asahi-san!
context: Right!\All right!\We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint!\All right!\Asahi-san! response:	The setter received that?!
context: All right!\We can't get the shot that will end this.\This rally is going on forever.\Overall, Seijoh's better at everything, but...\A feint!\All right!\Asahi-san!\The setter received that?! response:	Now he can't toss!
