context: I am not about to be stranded by something such as rain! response:	We are leaving, Sophia Ring!
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring! response:	What's your plan?
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan? response:	My dark barrier renders all attacks ineffective!
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective! response:	No. Don't think about him.
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him. response:	Don't think about him. Don't think about him.
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him. response:	This is emotional turmoil.
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil. response:	The angel must be nearby.
context: I am not about to be stranded by something such as rain!\We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby. response:	It's okay. I still have my power. It hasn't disappeared.
context: We are leaving, Sophia Ring!\What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared. response:	I have to do something before it does.
context: What's your plan?\My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does. response:	It's you, Shichimiya.
context: My dark barrier renders all attacks ineffective!\No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya. response:	I thought Rikka had come home.
context: No. Don't think about him.\Don't think about him. Don't think about him.\This is emotional turmoil.\The angel must be nearby.\It's okay. I still have my power. It hasn't disappeared.\I have to do something before it does.\It's you, Shichimiya.\I thought Rikka had come home. response:	She's been staying out late every night.
