context: You came after all. response:	Amber...
context: You came after all.\Amber... response:	Thanks, Yin.
context: You came after all.\Amber...\Thanks, Yin. response:	Everyone died, didn't they?
context: You came after all.\Amber...\Thanks, Yin.\Everyone died, didn't they? response:	Sorry, I don't have much time left.
context: You came after all.\Amber...\Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left. response:	There's no doubt that something's going on in there.
context: You came after all.\Amber...\Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there. response:	What are we supposed to do? It would be pretty pathetic to launch a two-man attack.
context: You came after all.\Amber...\Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack. response:	It's Ohtsuka.
context: You came after all.\Amber...\Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka. response:	What's going on?
context: Amber...\Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on? response:	What kind of question is that? There's nobody from the division here, and...
context: Thanks, Yin.\Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and... response:	Open
context: Everyone died, didn't they?\Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and...\Open response:	Open
context: Sorry, I don't have much time left.\There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and...\Open\Open response:	Open
context: There's no doubt that something's going on in there.\What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and...\Open\Open\Open response:	Open
context: What are we supposed to do? It would be pretty pathetic to launch a two-man attack.\It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and...\Open\Open\Open\Open response:	What in the world is going on?
context: It's Ohtsuka.\What's going on?\What kind of question is that? There's nobody from the division here, and...\Open\Open\Open\Open\What in the world is going on? response:	Open
context: What's going on?\What kind of question is that? There's nobody from the division here, and...\Open\Open\Open\Open\What in the world is going on?\Open response:	Open
context: What kind of question is that? There's nobody from the division here, and...\Open\Open\Open\Open\What in the world is going on?\Open\Open response:	Open
context: Open\Open\Open\Open\What in the world is going on?\Open\Open\Open response:	Open
context: Open\Open\Open\What in the world is going on?\Open\Open\Open\Open response:	Open
context: Open\Open\What in the world is going on?\Open\Open\Open\Open\Open response:	Open
context: Open\What in the world is going on?\Open\Open\Open\Open\Open\Open response:	To be honest, I'm scared.
context: What in the world is going on?\Open\Open\Open\Open\Open\Open\To be honest, I'm scared. response:	The solar maximum will enter its final stage soon.
context: Open\Open\Open\Open\Open\Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon. response:	Will Tokyo continue to...
context: Open\Open\Open\Open\Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to... response:	This is insane! It's practically a war!
context: Open\Open\Open\Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war! response:	Sorry to keep you waiting.
context: Open\Open\Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting. response:	Hurry up! If we're going to force our way in, we have to do it while they're distracted.
context: Open\Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted. response:	You understand what this means, don't you?
context: Open\To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you? response:	We're up against more than contractors.
context: To be honest, I'm scared.\The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors. response:	Hey! Wait!
context: The solar maximum will enter its final stage soon.\Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait! response:	We're now approaching the maximum activity period of the solar maximum, its final stage.
context: Will Tokyo continue to...\This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage. response:	Maximum level of the Gullfinger wave acknowledged.
context: This is insane! It's practically a war!\Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged. response:	The anti-gate particle generation level within the accelerator ring is at maximum.
context: Sorry to keep you waiting.\Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum. response:	Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit!
context: Hurry up! If we're going to force our way in, we have to do it while they're distracted.\You understand what this means, don't you?\We're up against more than contractors.\Hey! Wait!\We're now approaching the maximum activity period of the solar maximum, its final stage.\Maximum level of the Gullfinger wave acknowledged.\The anti-gate particle generation level within the accelerator ring is at maximum.\Collect all the energy from the Saturn Ring and direct it to Hope, the auxiliary convergency unit! response:	This is a race, people.
