context: Found it! It's this! response:	Hot Springs A complete guide to the most popular traditional inns
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns response:	I'm nervous...
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous... response:	Yeah...
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah... response:	I just can't open it!
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah...\I just can't open it! response:	You open it, Minchi!
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah...\I just can't open it!\You open it, Minchi! response:	Why me?
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah...\I just can't open it!\You open it, Minchi!\Why me? response:	Well, I think we did well, so we should be fine,
context: Found it! It's this!\Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah...\I just can't open it!\You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine, response:	but what are we going to do if they've
context: Hot Springs A complete guide to the most popular traditional inns\I'm nervous...\Yeah...\I just can't open it!\You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've response:	written something bad about us.
context: I'm nervous...\Yeah...\I just can't open it!\You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us. response:	So, what are we going to do?
context: Yeah...\I just can't open it!\You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us.\So, what are we going to do? response:	A perfect score...
context: I just can't open it!\You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us.\So, what are we going to do?\A perfect score... response:	F-F-F-
context: You open it, Minchi!\Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us.\So, what are we going to do?\A perfect score...\F-F-F- response:	Five out of five stars...
context: Why me?\Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us.\So, what are we going to do?\A perfect score...\F-F-F-\Five out of five stars... response:	No...
context: Well, I think we did well, so we should be fine,\but what are we going to do if they've\written something bad about us.\So, what are we going to do?\A perfect score...\F-F-F-\Five out of five stars...\No... response:	It's five out of ten stars.
context: but what are we going to do if they've\written something bad about us.\So, what are we going to do?\A perfect score...\F-F-F-\Five out of five stars...\No...\It's five out of ten stars. response:	What?
context: written something bad about us.\So, what are we going to do?\A perfect score...\F-F-F-\Five out of five stars...\No...\It's five out of ten stars.\What? response:	Episode 11 Bark at the Night
context: So, what are we going to do?\A perfect score...\F-F-F-\Five out of five stars...\No...\It's five out of ten stars.\What?\Episode 11 Bark at the Night response:	Takako!
context: A perfect score...\F-F-F-\Five out of five stars...\No...\It's five out of ten stars.\What?\Episode 11 Bark at the Night\Takako! response:	I need to contact Takako!
context: F-F-F-\Five out of five stars...\No...\It's five out of ten stars.\What?\Episode 11 Bark at the Night\Takako!\I need to contact Takako! response:	Takako!
context: Five out of five stars...\No...\It's five out of ten stars.\What?\Episode 11 Bark at the Night\Takako!\I need to contact Takako!\Takako! response:	If you applied the term retro,
context: No...\It's five out of ten stars.\What?\Episode 11 Bark at the Night\Takako!\I need to contact Takako!\Takako!\If you applied the term retro, response:	it would be too much of a compliment.
context: It's five out of ten stars.\What?\Episode 11 Bark at the Night\Takako!\I need to contact Takako!\Takako!\If you applied the term retro,\it would be too much of a compliment. response:	It's undeniable that the inn isn't suited for this era,
context: What?\Episode 11 Bark at the Night\Takako!\I need to contact Takako!\Takako!\If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era, response:	and the meals served are plain and boring.
context: Episode 11 Bark at the Night\Takako!\I need to contact Takako!\Takako!\If you applied the term retro,\it would be too much of a compliment.\It's undeniable that the inn isn't suited for this era,\and the meals served are plain and boring. response:	Like hell they are!
