context: Move! response:	Jackasses!
context: Move!\Jackasses! response:	Give me back Wendy and the others!
context: Move!\Jackasses!\Give me back Wendy and the others! response:	What is he?!
context: Move!\Jackasses!\Give me back Wendy and the others!\What is he?! response:	That crazy bastard is scary!
context: Move!\Jackasses!\Give me back Wendy and the others!\What is he?!\That crazy bastard is scary! response:	Who gave you the order?!
context: Move!\Jackasses!\Give me back Wendy and the others!\What is he?!\That crazy bastard is scary!\Who gave you the order?! response:	We're done for!
context: Move!\Jackasses!\Give me back Wendy and the others!\What is he?!\That crazy bastard is scary!\Who gave you the order?!\We're done for! response:	We just took the job!
context: Move!\Jackasses!\Give me back Wendy and the others!\What is he?!\That crazy bastard is scary!\Who gave you the order?!\We're done for!\We just took the job! response:	F-From somebody in Raven Tail!
context: Jackasses!\Give me back Wendy and the others!\What is he?!\That crazy bastard is scary!\Who gave you the order?!\We're done for!\We just took the job!\F-From somebody in Raven Tail! response:	We were told to get the girl who was in the infirmary.
context: Give me back Wendy and the others!\What is he?!\That crazy bastard is scary!\Who gave you the order?!\We're done for!\We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary. response:	Good work.
context: What is he?!\That crazy bastard is scary!\Who gave you the order?!\We're done for!\We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work. response:	We'll take care of them.
context: That crazy bastard is scary!\Who gave you the order?!\We're done for!\We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them. response:	Raven Tail...
context: Who gave you the order?!\We're done for!\We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them.\Raven Tail... response:	The girl... who was in the infirmary...
context: We're done for!\We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them.\Raven Tail...\The girl... who was in the infirmary... response:	Past tense?
context: We just took the job!\F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them.\Raven Tail...\The girl... who was in the infirmary...\Past tense? response:	There was one there.
context: F-From somebody in Raven Tail!\We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them.\Raven Tail...\The girl... who was in the infirmary...\Past tense?\There was one there. response:	Natsu carried her in.
context: We were told to get the girl who was in the infirmary.\Good work.\We'll take care of them.\Raven Tail...\The girl... who was in the infirmary...\Past tense?\There was one there.\Natsu carried her in. response:	You don't mean...
context: Good work.\We'll take care of them.\Raven Tail...\The girl... who was in the infirmary...\Past tense?\There was one there.\Natsu carried her in.\You don't mean... response:	Lucy!
context: We'll take care of them.\Raven Tail...\The girl... who was in the infirmary...\Past tense?\There was one there.\Natsu carried her in.\You don't mean...\Lucy! response:	Their cover isn't blown?
context: Raven Tail...\The girl... who was in the infirmary...\Past tense?\There was one there.\Natsu carried her in.\You don't mean...\Lucy!\Their cover isn't blown? response:	No, sir. They believe their client is Raven Tail.
context: The girl... who was in the infirmary...\Past tense?\There was one there.\Natsu carried her in.\You don't mean...\Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail. response:	We need to keep using the discord between Fairy Tail and Raven Tail like this.
context: Past tense?\There was one there.\Natsu carried her in.\You don't mean...\Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this. response:	And while they're busy feuding, we'll grab a Celestial Spirit Wizard...
context: There was one there.\Natsu carried her in.\You don't mean...\Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard... response:	Hello, hello!
context: Natsu carried her in.\You don't mean...\Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello! response:	I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!
context: You don't mean...\Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge! response:	Kabo!
context: Lucy!\Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo! response:	Two days of the tournament are finished, and day three is here at last,
context: Their cover isn't blown?\No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last, response:	but Sabertooth, the favorite to win, is in a surprising second place...
context: No, sir. They believe their client is Raven Tail.\We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place... response:	Yeah, yeah. Listen, the tournament's just begun.
context: We need to keep using the discord between Fairy Tail and Raven Tail like this.\And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun. response:	From here on out, you'll see the strength of our guild with your own eyes!
context: And while they're busy feuding, we'll grab a Celestial Spirit Wizard...\Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes! response:	Fro thinks so, too!
context: Hello, hello!\I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too! response:	Excuse me... You shouldn't be here-kabo! This is my segment!
context: I'm Mato-kun, the official mascot of the Grand Magic Games as well as a judge!\Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment! response:	Pretty full of yourself for a pumpkin...
context: Kabo!\Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin... response:	His feet stink!
context: Two days of the tournament are finished, and day three is here at last,\but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink! response:	Saber isn't the only guild people should keep an eye on!
context: but Sabertooth, the favorite to win, is in a surprising second place...\Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on! response:	Kagura had an awesome match too, didn't she?
context: Yeah, yeah. Listen, the tournament's just begun.\From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she? response:	Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!
context: From here on out, you'll see the strength of our guild with your own eyes!\Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes! response:	You better not underestimate Mermaid!
context: Fro thinks so, too!\Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid! response:	Come on, both of you, calm down...
context: Excuse me... You shouldn't be here-kabo! This is my segment!\Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down... response:	This segment is supposed to be used to tell everyone about the tournament!
context: Pretty full of yourself for a pumpkin...\His feet stink!\Saber isn't the only guild people should keep an eye on!\Kagura had an awesome match too, didn't she?\Yukino-kun aside, we've got Sting-kun and a mess of other strong dudes!\You better not underestimate Mermaid!\Come on, both of you, calm down...\This segment is supposed to be used to tell everyone about the tournament! response:	Fro thinks so, too!
