context: It's not here either. response:	We may not be able to find it.
context: It's not here either.\We may not be able to find it. response:	Calm down.
context: It's not here either.\We may not be able to find it.\Calm down. response:	I know just what to do.
context: It's not here either.\We may not be able to find it.\Calm down.\I know just what to do. response:	Yes, this is New Compton waste disposal.
context: It's not here either.\We may not be able to find it.\Calm down.\I know just what to do.\Yes, this is New Compton waste disposal. response:	Hello.
context: It's not here either.\We may not be able to find it.\Calm down.\I know just what to do.\Yes, this is New Compton waste disposal.\Hello. response:	I accidentally put something really important in the garbage,
context: It's not here either.\We may not be able to find it.\Calm down.\I know just what to do.\Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage, response:	and it just got picked up.
context: It's not here either.\We may not be able to find it.\Calm down.\I know just what to do.\Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage,\and it just got picked up. response:	I'm sorry to hear that.
context: We may not be able to find it.\Calm down.\I know just what to do.\Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that. response:	Goodbye.
context: Calm down.\I know just what to do.\Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that.\Goodbye. response:	W-Wait!
context: I know just what to do.\Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that.\Goodbye.\W-Wait! response:	Is there something else?
context: Yes, this is New Compton waste disposal.\Hello.\I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that.\Goodbye.\W-Wait!\Is there something else? response:	I told you, it's really important!
context: Hello.\I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that.\Goodbye.\W-Wait!\Is there something else?\I told you, it's really important! response:	When your garbage is picked up, you lose all rights to it.
context: I accidentally put something really important in the garbage,\and it just got picked up.\I'm sorry to hear that.\Goodbye.\W-Wait!\Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it. response:	Goodbye.
context: and it just got picked up.\I'm sorry to hear that.\Goodbye.\W-Wait!\Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye. response:	Wait, I said...
context: I'm sorry to hear that.\Goodbye.\W-Wait!\Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said... response:	Um, uh... I know!
context: Goodbye.\W-Wait!\Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said...\Um, uh... I know! response:	It's important evidence.
context: W-Wait!\Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said...\Um, uh... I know!\It's important evidence. response:	I'm Cecil Epps, with the San-Teresa Metropolitan Police.
context: Is there something else?\I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said...\Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police. response:	I'm a deputy coroner.
context: I told you, it's really important!\When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said...\Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner. response:	Um... if this evidence is lost, th-the investigation will...
context: When your garbage is picked up, you lose all rights to it.\Goodbye.\Wait, I said...\Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will... response:	Um... something really bad will happen to it! So cooperate with the police investigation!
context: Goodbye.\Wait, I said...\Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation! response:	Please, grant me mercy!
context: Wait, I said...\Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy! response:	Grant me salvation!
context: Um, uh... I know!\It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation! response:	O'Neill, I came here to ask you something!
context: It's important evidence.\I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something! response:	Look at this. It's the tip you gave me.
context: I'm Cecil Epps, with the San-Teresa Metropolitan Police.\I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me. response:	I need to know more about the guy you said is working with the smuggler...
context: I'm a deputy coroner.\Um... if this evidence is lost, th-the investigation will...\Um... something really bad will happen to it! So cooperate with the police investigation!\Please, grant me mercy!\Grant me salvation!\O'Neill, I came here to ask you something!\Look at this. It's the tip you gave me.\I need to know more about the guy you said is working with the smuggler... response:	The patient is in pain. Stop it.
