context: Go Out With Me response:	Ah, those meat balls look tasty!
context: Go Out With Me\Ah, those meat balls look tasty! response:	Give me one.
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one. response:	Sure, here you go!
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one.\Sure, here you go! response:	I'll trade you my tamagoyaki.
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one.\Sure, here you go!\I'll trade you my tamagoyaki. response:	Are you going to stop by the station on your way home?
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one.\Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home? response:	I heard the new macaroon is on sale.
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one.\Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale. response:	That's a good color after all!
context: Go Out With Me\Ah, those meat balls look tasty!\Give me one.\Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all! response:	Does it use gloss?
context: Ah, those meat balls look tasty!\Give me one.\Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss? response:	No, just the lip.
context: Give me one.\Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss?\No, just the lip. response:	How nice! Where did you buy it?
context: Sure, here you go!\I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss?\No, just the lip.\How nice! Where did you buy it? response:	Get out of the way!
context: I'll trade you my tamagoyaki.\Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss?\No, just the lip.\How nice! Where did you buy it?\Get out of the way! response:	Safe!
context: Are you going to stop by the station on your way home?\I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss?\No, just the lip.\How nice! Where did you buy it?\Get out of the way!\Safe! response:	Ahhh, I thought I was dead.
context: I heard the new macaroon is on sale.\That's a good color after all!\Does it use gloss?\No, just the lip.\How nice! Where did you buy it?\Get out of the way!\Safe!\Ahhh, I thought I was dead. response:	Hm? My glasses?
