context: We have reports of crustal movement and abnormal weather all over the world! response:	The breaking of the seal on the Legendary Aquarion is affecting the whole planet.
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet. response:	And we can't contact the Elements, either!
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either! response:	Our only option is sending the machines we have left to Altair!
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair! response:	But how? The Dimension Gate is closed!
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed! response:	I'll open a hole through the dimensions.
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions. response:	I know last time was an accident, and Shrade was there to help...
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help... response:	But... it worked!
context: We have reports of crustal movement and abnormal weather all over the world!\The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked! response:	Can you do it, Andy?
context: The breaking of the seal on the Legendary Aquarion is affecting the whole planet.\And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy? response:	If I don't, all the holes I've ever dug were pointless!
context: And we can't contact the Elements, either!\Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless! response:	Let me go, Chairman!
context: Our only option is sending the machines we have left to Altair!\But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman! response:	Andy W. Hol...
context: But how? The Dimension Gate is closed!\I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol... response:	We will take a risk using your power.
context: I'll open a hole through the dimensions.\I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power. response:	You dare oppose me, Wings of the Sun?
context: I know last time was an accident, and Shrade was there to help...\But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun? response:	Our goal is to secure the true Eve.
context: But... it worked!\Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve. response:	Avoid the core units! Disable their weapons!
context: Can you do it, Andy?\If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons! response:	You really think that'll work, Izumo?
context: If I don't, all the holes I've ever dug were pointless!\Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo? response:	This is the power of the Wings of the Sun?
context: Let me go, Chairman!\Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun? response:	But...
context: Andy W. Hol...\We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But... response:	This is enough power to wipe out a Gnis platoon all at once.
context: We will take a risk using your power.\You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once. response:	I'll send it back at you amplified!
context: You dare oppose me, Wings of the Sun?\Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified! response:	He's firing it back!
context: Our goal is to secure the true Eve.\Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back! response:	Then I'll just reverse it!
context: Avoid the core units! Disable their weapons!\You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it! response:	His power of reversal is canceling out my counter!
context: You really think that'll work, Izumo?\This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter! response:	Izumo! You can't have my wench, even over my dead body!
context: This is the power of the Wings of the Sun?\But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body! response:	What's the matter with you, Kagura?
context: But...\This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura? response:	Why do you care about that Rare Igura so much?
context: This is enough power to wipe out a Gnis platoon all at once.\I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much? response:	She's my smelly wench! Only mine!
context: I'll send it back at you amplified!\He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine! response:	So childish!
context: He's firing it back!\Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish! response:	Sir Izumo, I'll fight with you!
context: Then I'll just reverse it!\His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you! response:	That Abductor...
context: His power of reversal is canceling out my counter!\Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you!\That Abductor... response:	No way! Mix?!
context: Izumo! You can't have my wench, even over my dead body!\What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?! response:	Sir Izumo is Altair's future!
context: What's the matter with you, Kagura?\Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?!\Sir Izumo is Altair's future! response:	Please, be safe...
context: Why do you care about that Rare Igura so much?\She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe... response:	Been a while since it was just us guys in a Union!
context: She's my smelly wench! Only mine!\So childish!\Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union! response:	We're about to reach the target!
context: So childish!\Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target! response:	Let's get this done! With a manly Brutal Union!
context: Sir Izumo, I'll fight with you!\That Abductor...\No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union! response:	That's not how we Union!
context: That Abductor...\No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union! response:	We're doing a hot-blooded Warrior's Union!
context: No way! Mix?!\Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union! response:	Go!
context: Sir Izumo is Altair's future!\Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go! response:	Aquarion!
context: Please, be safe...\Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go!\Aquarion! response:	Aquarion Gepard!
context: Been a while since it was just us guys in a Union!\We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go!\Aquarion!\Aquarion Gepard! response:	Mix!
context: We're about to reach the target!\Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go!\Aquarion!\Aquarion Gepard!\Mix! response:	It doesn't matter what your body's turned into!
context: Let's get this done! With a manly Brutal Union!\That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go!\Aquarion!\Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into! response:	I'll always come for you!
context: That's not how we Union!\We're doing a hot-blooded Warrior's Union!\Go!\Aquarion!\Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into!\I'll always come for you! response:	Remember what I used to say, Mix?
context: We're doing a hot-blooded Warrior's Union!\Go!\Aquarion!\Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix? response:	Holes are dug to bring the world together.
context: Go!\Aquarion!\Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together. response:	This hole's to bring us to that world you're on!
context: Aquarion!\Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on! response:	And I'll open another great big hole into your heart!
context: Aquarion Gepard!\Mix!\It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart! response:	Big enough to bury myself in!
context: Mix!\It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in! response:	The artificial Dimension Gate has formed!
context: It doesn't matter what your body's turned into!\I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed! response:	Go get'em, boys!
context: I'll always come for you!\Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys! response:	Wait for me, Mix!
context: Remember what I used to say, Mix?\Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix! response:	I heard someone calling my name!
context: Holes are dug to bring the world together.\This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name! response:	No! My name is Mixy!
context: This hole's to bring us to that world you're on!\And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy! response:	Outta my way!
context: And I'll open another great big hole into your heart!\Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy!\Outta my way! response:	Stop!
context: Big enough to bury myself in!\The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy!\Outta my way!\Stop! response:	Mix is the pilot of that robot!
context: The artificial Dimension Gate has formed!\Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy!\Outta my way!\Stop!\Mix is the pilot of that robot! response:	She's my friend!
context: Go get'em, boys!\Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy!\Outta my way!\Stop!\Mix is the pilot of that robot!\She's my friend! response:	Your friend?
context: Wait for me, Mix!\I heard someone calling my name!\No! My name is Mixy!\Outta my way!\Stop!\Mix is the pilot of that robot!\She's my friend!\Your friend? response:	Here he comes.
context: I heard someone calling my name!\No! My name is Mixy!\Outta my way!\Stop!\Mix is the pilot of that robot!\She's my friend!\Your friend?\Here he comes. response:	Damn you, Izumo.
context: No! My name is Mixy!\Outta my way!\Stop!\Mix is the pilot of that robot!\She's my friend!\Your friend?\Here he comes.\Damn you, Izumo. response:	Amata!
context: Outta my way!\Stop!\Mix is the pilot of that robot!\She's my friend!\Your friend?\Here he comes.\Damn you, Izumo.\Amata! response:	Amata...
context: Stop!\Mix is the pilot of that robot!\She's my friend!\Your friend?\Here he comes.\Damn you, Izumo.\Amata!\Amata... response:	Amata...
context: Mix is the pilot of that robot!\She's my friend!\Your friend?\Here he comes.\Damn you, Izumo.\Amata!\Amata...\Amata... response:	Who's there?
context: She's my friend!\Your friend?\Here he comes.\Damn you, Izumo.\Amata!\Amata...\Amata...\Who's there? response:	Amata...
context: Your friend?\Here he comes.\Damn you, Izumo.\Amata!\Amata...\Amata...\Who's there?\Amata... response:	Amata!
context: Here he comes.\Damn you, Izumo.\Amata!\Amata...\Amata...\Who's there?\Amata...\Amata! response:	Where is this?
context: Damn you, Izumo.\Amata!\Amata...\Amata...\Who's there?\Amata...\Amata!\Where is this? response:	Amata...
context: Amata!\Amata...\Amata...\Who's there?\Amata...\Amata!\Where is this?\Amata... response:	Cut it out!
context: Amata...\Amata...\Who's there?\Amata...\Amata!\Where is this?\Amata...\Cut it out! response:	Reverse!
context: Amata...\Who's there?\Amata...\Amata!\Where is this?\Amata...\Cut it out!\Reverse! response:	Sir Izumo!
context: Who's there?\Amata...\Amata!\Where is this?\Amata...\Cut it out!\Reverse!\Sir Izumo! response:	Go reverse out of my sight!
context: Amata...\Amata!\Where is this?\Amata...\Cut it out!\Reverse!\Sir Izumo!\Go reverse out of my sight! response:	I'll crush you!
context: Amata!\Where is this?\Amata...\Cut it out!\Reverse!\Sir Izumo!\Go reverse out of my sight!\I'll crush you! response:	Stop!
context: Where is this?\Amata...\Cut it out!\Reverse!\Sir Izumo!\Go reverse out of my sight!\I'll crush you!\Stop! response:	That robot!
context: Amata...\Cut it out!\Reverse!\Sir Izumo!\Go reverse out of my sight!\I'll crush you!\Stop!\That robot! response:	You!
context: Cut it out!\Reverse!\Sir Izumo!\Go reverse out of my sight!\I'll crush you!\Stop!\That robot!\You! response:	Aquarion Gepard!
