context: Overview response:	Tokyo
context: Overview\Tokyo response:	Depart from Harumi
context: Overview\Tokyo\Depart from Harumi response:	Arrive at Harumi
context: Overview\Tokyo\Depart from Harumi\Arrive at Harumi response:	The Shirase leaves port in Japan in mid-November,
context: Overview\Tokyo\Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November, response:	heads south across the ocean towards Antarctica,
context: Overview\Tokyo\Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica, response:	Fremantle
context: Overview\Tokyo\Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle response:	Arrival Departure
context: Overview\Tokyo\Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure response:	Fremantle
context: Tokyo\Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure\Fremantle response:	Sidney
context: Depart from Harumi\Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure\Fremantle\Sidney response:	Sidney
context: Arrive at Harumi\The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure\Fremantle\Sidney\Sidney response:	Cross the 55th Parallel
context: The Shirase leaves port in Japan in mid-November,\heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure\Fremantle\Sidney\Sidney\Cross the 55th Parallel response:	and makes a port call in Fremantle on the way.
context: heads south across the ocean towards Antarctica,\Fremantle\Arrival Departure\Fremantle\Sidney\Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way. response:	Australia!
context: Fremantle\Arrival Departure\Fremantle\Sidney\Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia! response:	There, they'll resupply and bring the expedition members on board.
context: Arrival Departure\Fremantle\Sidney\Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board. response:	Then as December begins, they'll set course for the continent of Antarctica.
context: Fremantle\Sidney\Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica. response:	The people don't board in Japan?
context: Sidney\Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan? response:	They haven't done that for a long time.
context: Sidney\Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time. response:	Fremantle Sidney
context: Cross the 55th Parallel\and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney response:	Nowadays, people typically board at Fremantle,
context: and makes a port call in Fremantle on the way.\Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle, response:	then fly home from Sidney.
context: Australia!\There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney. response:	So while the Shirase is in port there,
context: There, they'll resupply and bring the expedition members on board.\Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there, response:	we'll want to take a plane from Japan to Fremantle.
context: Then as December begins, they'll set course for the continent of Antarctica.\The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle. response:	Fremantle
context: The people don't board in Japan?\They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle response:	Cross the 55th Parallel
context: They haven't done that for a long time.\Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel response:	Then we'll board the Shirase... and head for Antarctica.
context: Fremantle Sidney\Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica. response:	Syowa Station
context: Nowadays, people typically board at Fremantle,\then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station response:	Depart Syowa Station
context: then fly home from Sidney.\So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station response:	Will they let us on?
context: So while the Shirase is in port there,\we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station\Will they let us on? response:	Antarctic expeditions are typically a state enterprise.
context: we'll want to take a plane from Japan to Fremantle.\Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise. response:	The boat is manned by the SDF,
context: Fremantle\Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF, response:	and the expedition members have to pass strict screenings and training.
context: Cross the 55th Parallel\Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training. response:	High schoolers would never be allowed in.
context: Then we'll board the Shirase... and head for Antarctica.\Syowa Station\Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in. response:	However...
context: Syowa Station\Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However... response:	This year is special.
context: Depart Syowa Station\Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However...\This year is special. response:	What's this year?
context: Will they let us on?\Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However...\This year is special.\What's this year? response:	Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.
context: Antarctic expeditions are typically a state enterprise.\The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However...\This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced. response:	Civilian Antarctic Expedition to Take Place for the First Time in Three Years?
context: The boat is manned by the SDF,\and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However...\This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years? response:	The moment I saw that smile,
context: and the expedition members have to pass strict screenings and training.\High schoolers would never be allowed in.\However...\This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile, response:	I felt a shiver run through my heart.
context: High schoolers would never be allowed in.\However...\This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart. response:	Is this what trembling with anticipation means? I wondered.
context: However...\This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered. response:	I'm currently making the most preposterous, absurd,
context: This year is special.\What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd, response:	and enormous plans I've ever made.
context: What's this year?\Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made. response:	Hand-Roasted Beans
context: Civilian Antarctic Expedition to Take Place for the First Time in Three Years A revival of the Antarctic Challenge, the first civilian Antarctic expedition held three years ago, has been announced.\Civilian Antarctic Expedition to Take Place for the First Time in Three Years?\The moment I saw that smile,\I felt a shiver run through my heart.\Is this what trembling with anticipation means? I wondered.\I'm currently making the most preposterous, absurd,\and enormous plans I've ever made.\Hand-Roasted Beans response:	Port City Cafe
