context: Endeavor's my old man. response:	He's been stuck as the number two hero for forever.
context: Endeavor's my old man.\He's been stuck as the number two hero for forever. response:	It is my Shoto's duty to surpass All Might.
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might. response:	If you have something from the number one hero, then I...
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I... response:	In my memories, my mother is always crying.
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying. response:	Your left side is unsightly,
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly, response:	my mother said as she poured boiling water on me.
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me. response:	Without using my damn old man's Quirk...
context: Endeavor's my old man.\He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk... response:	No...
context: He's been stuck as the number two hero for forever.\It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No... response:	I'll reject him completely by winning first place without using it.
context: It is my Shoto's duty to surpass All Might.\If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it. response:	No matter what you are to All Might,
context: If you have something from the number one hero, then I...\In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might, response:	I will rise above you with just my right side.
context: In my memories, my mother is always crying.\Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side. response:	But I can't lose, either.
context: Your left side is unsightly,\my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either. response:	I have to live up to the hopes of those who supported me.
context: my mother said as she poured boiling water on me.\Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me. response:	I will beat you, too!
context: Without using my damn old man's Quirk...\No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too! response:	But you want to be a hero, don't you?
context: No...\I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you? response:	It's okay for you to be one.
context: I'll reject him completely by winning first place without using it.\No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one. response:	Before I knew it, I had forgotten what happened after this...
context: No matter what you are to All Might,\I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this... response:	Shoto Todoroki Izuku Midoriya
context: I will rise above you with just my right side.\But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya response:	The first match of the second round!
context: But I can't lose, either.\I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round! response:	At this year's sports festival, both have shown top class performances!
context: I have to live up to the hopes of those who supported me.\I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances! response:	Midoriya!
context: I will beat you, too!\But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya! response:	First, he'll come at me with ice.
context: But you want to be a hero, don't you?\It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice. response:	Versus-
context: It's okay for you to be one.\Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice.\Versus- response:	Todoroki!
context: Before I knew it, I had forgotten what happened after this...\Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice.\Versus-\Todoroki! response:	It'll be dangerous to let him use that power as he likes.
context: Shoto Todoroki Izuku Midoriya\The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice.\Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes. response:	It's like two great rivals fighting against each other!
context: The first match of the second round!\At this year's sports festival, both have shown top class performances!\Midoriya!\First, he'll come at me with ice.\Versus-\Todoroki!\It'll be dangerous to let him use that power as he likes.\It's like two great rivals fighting against each other! response:	Now-
