context: Hosu General Hospital response:	Two days since the Hosu incident,
context: Hosu General Hospital\Two days since the Hosu incident, response:	and five days since we started our internships...
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships... response:	Since my injuries from Stain were not fully healed yet, I was in a hospital bed.
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed. response:	Special Report: Hero Killer!
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer! response:	On the news, the hero killer was the talk of the town.
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town. response:	Near the scene the day after the incident
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident response:	When seven pro heroes and three high school students came across the hero killer,
context: Hosu General Hospital\Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer, response:	Endeavor rushed over and took care of the situation.
context: Two days since the Hosu incident,\and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation. response:	That was the official story released by the police.
context: and five days since we started our internships...\Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police. response:	Just as the person from the police said,
context: Since my injuries from Stain were not fully healed yet, I was in a hospital bed.\Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said, response:	Iida, Todoroki, and my names were not made public,
context: Special Report: Hero Killer!\On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public, response:	and our injuries were explained away
context: On the news, the hero killer was the talk of the town.\Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away response:	as accidents that happened during our internships.
context: Near the scene the day after the incident\When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships. response:	The night Iida got the results of the examination of his injured arms,
context: When seven pro heroes and three high school students came across the hero killer,\Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms, response:	Tenya Iida - Quirk: Engine
context: Endeavor rushed over and took care of the situation.\That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine response:	he went back with his mom to his parents' house.
context: That was the official story released by the police.\Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house. response:	Izuku Midoriya - Quirk: One For All
context: Just as the person from the police said,\Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All response:	As for Todoroki, who had relatively light injuries...
context: Iida, Todoroki, and my names were not made public,\and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries... response:	Shoto Todoroki - Quirk: Half-Cold, Half-Hot
context: and our injuries were explained away\as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot response:	I will return to my internship.
context: as accidents that happened during our internships.\The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship. response:	To Endeavor's place?
context: The night Iida got the results of the examination of his injured arms,\Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place? response:	I want to learn what I can from him.
context: Tenya Iida - Quirk: Engine\he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place?\I want to learn what I can from him. response:	Besides, they said he defeated the hero killer even though he didn't actually do it.
context: he went back with his mom to his parents' house.\Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it. response:	I want to see his expression.
context: Izuku Midoriya - Quirk: One For All\As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression. response:	You become kind of mean when it comes to Endeavor, huh, Todoroki?
context: As for Todoroki, who had relatively light injuries...\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki? response:	I'm sure everyone else is working hard right now.
context: Shoto Todoroki - Quirk: Half-Cold, Half-Hot\I will return to my internship.\To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now. response:	Everyone's Internships
context: I will return to my internship.\To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships response:	It is possible that the villains who were inspired by the Hosu incident the other day
context: To Endeavor's place?\I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day response:	will become more active.
context: I want to learn what I can from him.\Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active. response:	Even though this is just a patrol, don't let your guard down.
context: Besides, they said he defeated the hero killer even though he didn't actually do it.\I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down. response:	Right.
context: I want to see his expression.\You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down.\Right. response:	This is sudden, but here's a question.
context: You become kind of mean when it comes to Endeavor, huh, Todoroki?\I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question. response:	Patrols are meant to deter villains from committing crimes,
context: I'm sure everyone else is working hard right now.\Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes, response:	Katsuki Bakugo - Quirk: Explosion
context: Everyone's Internships\It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion response:	but they also have a secondary effect.
context: It is possible that the villains who were inspired by the Hosu incident the other day\will become more active.\Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect. response:	What is it?
context: will become more active.\Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it? response:	If we see villains, we beat them up right away!
context: Even though this is just a patrol, don't let your guard down.\Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away! response:	Pro Hero - Best Jeanist
context: Right.\This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist response:	No.
context: This is sudden, but here's a question.\Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No. response:	It's Best Jeanist!
context: Patrols are meant to deter villains from committing crimes,\Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No.\It's Best Jeanist! response:	Please do your best at work!
context: Katsuki Bakugo - Quirk: Explosion\but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No.\It's Best Jeanist!\Please do your best at work! response:	The answer is: to show people who we are.
context: but they also have a secondary effect.\What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No.\It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are. response:	To give the public peace of mind.
context: What is it?\If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No.\It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind. response:	It builds trust between those who protect and those who are being protected.
context: If we see villains, we beat them up right away!\Pro Hero - Best Jeanist\No.\It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected. response:	What is this, a courtesy visit?
context: Pro Hero - Best Jeanist\No.\It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit? response:	Oh, I've seen him on TV before!
context: No.\It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before! response:	The sports festival again?
context: It's Best Jeanist!\Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again? response:	He was caught by a villain and looked like he was about to cry, right?
context: Please do your best at work!\The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right? response:	What did you say?!
context: The answer is: to show people who we are.\To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?! response:	Did you already forget what I taught you?
context: To give the public peace of mind.\It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you? response:	Deal with them properly.
context: It builds trust between those who protect and those who are being protected.\What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you?\Deal with them properly. response:	All right already!
context: What is this, a courtesy visit?\Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you?\Deal with them properly.\All right already! response:	You know, I wasn't caught by the villain back then,
context: Oh, I've seen him on TV before!\The sports festival again?\He was caught by a villain and looked like he was about to cry, right?\What did you say?!\Did you already forget what I taught you?\Deal with them properly.\All right already!\You know, I wasn't caught by the villain back then, response:	I was thinking about how to defeat him.
