context: Okay, Vegeta- chan, now it's our turn. response:	You two little pipsqueaks there, give Vegeta- chan a hand.
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand. response:	Use as many dirty tricks as you need to.
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to. response:	Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all! response:	Leave a little treat for us, too!
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too! response:	Dammit!
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit! response:	Why, that jerk!
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit!\Why, that jerk! response:	Ginyu...
context: Okay, Vegeta- chan, now it's our turn.\You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit!\Why, that jerk!\Ginyu... response:	ReaCoom!!
context: You two little pipsqueaks there, give Vegeta- chan a hand.\Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit!\Why, that jerk!\Ginyu...\ReaCoom!! response:	Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!
context: Use as many dirty tricks as you need to.\Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit!\Why, that jerk!\Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000! response:	Get down!
context: Hey, ReaCoom! Don't kill the little ones! We're going to kill them, after all!\Leave a little treat for us, too!\Dammit!\Why, that jerk!\Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down! response:	More! More! More!
context: Leave a little treat for us, too!\Dammit!\Why, that jerk!\Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More! response:	H- he got him.
context: Dammit!\Why, that jerk!\Ginyu...\ReaCoom!!\Hey, what's going on here? Vegeta- chan's power level just rose to upwards of 30,000!\Get down!\More! More! More!\H- he got him. response:	Incredible... He ended it all in one instant. Vegeta has ridiculous strength, all right.
