context: The Third Plate response:	Eight
context: The Third Plate\Eight response:	I have assembled a force of fifty men.
context: The Third Plate\Eight\I have assembled a force of fifty men. response:	Within the hour, I will receive a report that the eviction is complete.
context: The Third Plate\Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete. response:	So, yeah. Your precious friends are in real trouble right now.
context: The Third Plate\Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now. response:	Are you feeling disappointed?
context: The Third Plate\Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed? response:	Your precious dorm is getting shut down, right?
context: The Third Plate\Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right? response:	It's all pointless, you see.
context: The Third Plate\Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see. response:	It doesn't matter if you win or lose this Shokugeki.
context: Eight\I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki. response:	Do you still want to go through this?
context: I have assembled a force of fifty men.\Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this? response:	Let's go!
context: Within the hour, I will receive a report that the eviction is complete.\So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go! response:	Begin the eviction!
context: So, yeah. Your precious friends are in real trouble right now.\Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go!\Begin the eviction! response:	No... I don't want this.
context: Are you feeling disappointed?\Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go!\Begin the eviction!\No... I don't want this. response:	I don't want to lose our dorm. No way!
context: Your precious dorm is getting shut down, right?\It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go!\Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way! response:	Food Wars
context: It's all pointless, you see.\It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go!\Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars response:	The Third Plate
context: It doesn't matter if you win or lose this Shokugeki.\Do you still want to go through this?\Let's go!\Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars\The Third Plate response:	The Alchemist
context: Do you still want to go through this?\Let's go!\Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars\The Third Plate\The Alchemist response:	Eizan Etsuya...
context: Let's go!\Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars\The Third Plate\The Alchemist\Eizan Etsuya... response:	What a coward!
context: Begin the eviction!\No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars\The Third Plate\The Alchemist\Eizan Etsuya...\What a coward! response:	Yukihira!
context: No... I don't want this.\I don't want to lose our dorm. No way!\Food Wars\The Third Plate\The Alchemist\Eizan Etsuya...\What a coward!\Yukihira! response:	Shokugeki
context: I don't want to lose our dorm. No way!\Food Wars\The Third Plate\The Alchemist\Eizan Etsuya...\What a coward!\Yukihira!\Shokugeki response:	Uh, Eizan-senpai?
context: Food Wars\The Third Plate\The Alchemist\Eizan Etsuya...\What a coward!\Yukihira!\Shokugeki\Uh, Eizan-senpai? response:	If I win this Shokugeki,
context: The Third Plate\The Alchemist\Eizan Etsuya...\What a coward!\Yukihira!\Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki, response:	you'll also cancel the eviction from Polar Star Dormitory, right?
context: The Alchemist\Eizan Etsuya...\What a coward!\Yukihira!\Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki,\you'll also cancel the eviction from Polar Star Dormitory, right? response:	Huh?
context: Eizan Etsuya...\What a coward!\Yukihira!\Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki,\you'll also cancel the eviction from Polar Star Dormitory, right?\Huh? response:	Well, yeah.
context: What a coward!\Yukihira!\Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki,\you'll also cancel the eviction from Polar Star Dormitory, right?\Huh?\Well, yeah. response:	Then I'm fine.
context: Yukihira!\Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki,\you'll also cancel the eviction from Polar Star Dormitory, right?\Huh?\Well, yeah.\Then I'm fine. response:	I'm going to focus on my cooking.
context: Shokugeki\Uh, Eizan-senpai?\If I win this Shokugeki,\you'll also cancel the eviction from Polar Star Dormitory, right?\Huh?\Well, yeah.\Then I'm fine.\I'm going to focus on my cooking. response:	Huh.
