context: The ice here is in the way. response:	Then why don't we have two boats set off here,
context: The ice here is in the way.\Then why don't we have two boats set off here, response:	and have this boat circle around?
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around? response:	Tomorrow's finally come...
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come... response:	Preparations sure go by fast when adults are around.
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around. response:	Yeah, definitely.
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely. response:	Thanks for your hard work.
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work. response:	I brought a present.
context: The ice here is in the way.\Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work.\I brought a present. response:	Oh, thanks.
context: Then why don't we have two boats set off here,\and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work.\I brought a present.\Oh, thanks. response:	Though it's just unsold bread.
context: and have this boat circle around?\Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work.\I brought a present.\Oh, thanks.\Though it's just unsold bread. response:	It's plenty.
context: Tomorrow's finally come...\Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work.\I brought a present.\Oh, thanks.\Though it's just unsold bread.\It's plenty. response:	You're such a good boy for running errands.
context: Preparations sure go by fast when adults are around.\Yeah, definitely.\Thanks for your hard work.\I brought a present.\Oh, thanks.\Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands. response:	Hey!
context: Yeah, definitely.\Thanks for your hard work.\I brought a present.\Oh, thanks.\Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands.\Hey! response:	Akira-kun...
context: Thanks for your hard work.\I brought a present.\Oh, thanks.\Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands.\Hey!\Akira-kun... response:	Hasn't he been weird lately?
context: I brought a present.\Oh, thanks.\Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands.\Hey!\Akira-kun...\Hasn't he been weird lately? response:	Don't worry about it.
context: Oh, thanks.\Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands.\Hey!\Akira-kun...\Hasn't he been weird lately?\Don't worry about it. response:	This should be fine.
context: Though it's just unsold bread.\It's plenty.\You're such a good boy for running errands.\Hey!\Akira-kun...\Hasn't he been weird lately?\Don't worry about it.\This should be fine. response:	Oh, Akira, you're here, too?
context: It's plenty.\You're such a good boy for running errands.\Hey!\Akira-kun...\Hasn't he been weird lately?\Don't worry about it.\This should be fine.\Oh, Akira, you're here, too? response:	Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.
context: You're such a good boy for running errands.\Hey!\Akira-kun...\Hasn't he been weird lately?\Don't worry about it.\This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki. response:	Well, we hadn't done one for a while.
context: Hey!\Akira-kun...\Hasn't he been weird lately?\Don't worry about it.\This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while. response:	Do you want to take a closer look?
context: Akira-kun...\Hasn't he been weird lately?\Don't worry about it.\This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look? response:	Namaka's.
context: Hasn't he been weird lately?\Don't worry about it.\This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's. response:	Yeah.
context: Don't worry about it.\This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's.\Yeah. response:	This pendant...
context: This should be fine.\Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's.\Yeah.\This pendant... response:	is filled with Manaka-san's love.
context: Oh, Akira, you're here, too?\Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's.\Yeah.\This pendant...\is filled with Manaka-san's love. response:	Namaka's love...
context: Come to think of it, this'll be Akira-kun's first time at an Ofunehiki.\Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's.\Yeah.\This pendant...\is filled with Manaka-san's love.\Namaka's love... response:	Hey.
context: Well, we hadn't done one for a while.\Do you want to take a closer look?\Namaka's.\Yeah.\This pendant...\is filled with Manaka-san's love.\Namaka's love...\Hey. response:	Akira!
context: Do you want to take a closer look?\Namaka's.\Yeah.\This pendant...\is filled with Manaka-san's love.\Namaka's love...\Hey.\Akira! response:	Miuna!
context: Namaka's.\Yeah.\This pendant...\is filled with Manaka-san's love.\Namaka's love...\Hey.\Akira!\Miuna! response:	It's so fast...
context: Yeah.\This pendant...\is filled with Manaka-san's love.\Namaka's love...\Hey.\Akira!\Miuna!\It's so fast... response:	Why?
context: This pendant...\is filled with Manaka-san's love.\Namaka's love...\Hey.\Akira!\Miuna!\It's so fast...\Why? response:	There's not even a current...
context: is filled with Manaka-san's love.\Namaka's love...\Hey.\Akira!\Miuna!\It's so fast...\Why?\There's not even a current... response:	Huh?
context: Namaka's love...\Hey.\Akira!\Miuna!\It's so fast...\Why?\There's not even a current...\Huh? response:	It's melting!
context: Hey.\Akira!\Miuna!\It's so fast...\Why?\There's not even a current...\Huh?\It's melting! response:	I love Hii-kun.
context: Akira!\Miuna!\It's so fast...\Why?\There's not even a current...\Huh?\It's melting!\I love Hii-kun. response:	I love Hii-kun.
context: Miuna!\It's so fast...\Why?\There's not even a current...\Huh?\It's melting!\I love Hii-kun.\I love Hii-kun. response:	I love Hii-kun.
context: It's so fast...\Why?\There's not even a current...\Huh?\It's melting!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun. response:	I love...
context: Why?\There's not even a current...\Huh?\It's melting!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun.\I love... response:	Hii-kun...
context: There's not even a current...\Huh?\It's melting!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun.\I love...\Hii-kun... response:	I knew it.
context: Huh?\It's melting!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun.\I love...\Hii-kun...\I knew it. response:	Tsumugu?
context: It's melting!\I love Hii-kun.\I love Hii-kun.\I love Hii-kun.\I love...\Hii-kun...\I knew it.\Tsumugu? response:	Knew it?
context: I love Hii-kun.\I love Hii-kun.\I love Hii-kun.\I love...\Hii-kun...\I knew it.\Tsumugu?\Knew it? response:	What do you mean?
context: I love Hii-kun.\I love Hii-kun.\I love...\Hii-kun...\I knew it.\Tsumugu?\Knew it?\What do you mean? response:	I admired it.
context: I love Hii-kun.\I love...\Hii-kun...\I knew it.\Tsumugu?\Knew it?\What do you mean?\I admired it. response:	Beyond the sea, beyond the sky...
context: I love...\Hii-kun...\I knew it.\Tsumugu?\Knew it?\What do you mean?\I admired it.\Beyond the sea, beyond the sky... response:	The sun that was so far, far away.
context: Hii-kun...\I knew it.\Tsumugu?\Knew it?\What do you mean?\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away. response:	It was so bright.
context: I knew it.\Tsumugu?\Knew it?\What do you mean?\I admired it.\Beyond the sea, beyond the sky...\The sun that was so far, far away.\It was so bright. response:	It shined down on me.
