context: You are one of the Seafolk, correct? response:	What if I am?
context: You are one of the Seafolk, correct?\What if I am? response:	You must be another soldier
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier response:	I am here to eliminate you.
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier\I am here to eliminate you. response:	Was that
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier\I am here to eliminate you.\Was that response:	the last of them?
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier\I am here to eliminate you.\Was that\the last of them? response:	Wow!
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier\I am here to eliminate you.\Was that\the last of them?\Wow! response:	Awesome! Amazing!
context: You are one of the Seafolk, correct?\What if I am?\You must be another soldier\I am here to eliminate you.\Was that\the last of them?\Wow!\Awesome! Amazing! response:	They must have been desperate.
context: What if I am?\You must be another soldier\I am here to eliminate you.\Was that\the last of them?\Wow!\Awesome! Amazing!\They must have been desperate. response:	Now I'm angry.
context: You must be another soldier\I am here to eliminate you.\Was that\the last of them?\Wow!\Awesome! Amazing!\They must have been desperate.\Now I'm angry. response:	I will tear you to shreds.
context: I am here to eliminate you.\Was that\the last of them?\Wow!\Awesome! Amazing!\They must have been desperate.\Now I'm angry.\I will tear you to shreds. response:	I let my guard down again.
context: Was that\the last of them?\Wow!\Awesome! Amazing!\They must have been desperate.\Now I'm angry.\I will tear you to shreds.\I let my guard down again. response:	I never learn.
context: the last of them?\Wow!\Awesome! Amazing!\They must have been desperate.\Now I'm angry.\I will tear you to shreds.\I let my guard down again.\I never learn. response:	Saitama
context: Wow!\Awesome! Amazing!\They must have been desperate.\Now I'm angry.\I will tear you to shreds.\I let my guard down again.\I never learn.\Saitama response:	You're Class C, rank 2.
context: Awesome! Amazing!\They must have been desperate.\Now I'm angry.\I will tear you to shreds.\I let my guard down again.\I never learn.\Saitama\You're Class C, rank 2. response:	Are you sure?
context: They must have been desperate.\Now I'm angry.\I will tear you to shreds.\I let my guard down again.\I never learn.\Saitama\You're Class C, rank 2.\Are you sure? response:	Yeah.
context: Now I'm angry.\I will tear you to shreds.\I let my guard down again.\I never learn.\Saitama\You're Class C, rank 2.\Are you sure?\Yeah. response:	Hurry it up. It's raining.
context: I will tear you to shreds.\I let my guard down again.\I never learn.\Saitama\You're Class C, rank 2.\Are you sure?\Yeah.\Hurry it up. It's raining. response:	He burst through every record during the fitness exam
context: I let my guard down again.\I never learn.\Saitama\You're Class C, rank 2.\Are you sure?\Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam response:	And he worked with some Class S heroes to destroy that meteor.
context: I never learn.\Saitama\You're Class C, rank 2.\Are you sure?\Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor. response:	But because he came out of nowhere, people are saying he's a fraud.</>
context: Saitama\You're Class C, rank 2.\Are you sure?\Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</> response:	Any other class C hero I'd stop
context: You're Class C, rank 2.\Are you sure?\Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop response:	This may be our chance to see how strong he truly is.
context: Are you sure?\Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is. response:	Saitama, here's the location. Head there immediately.
context: Yeah.\Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately. response:	UNYIELDING JUSTICE
context: Hurry it up. It's raining.\He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE response:	Those who can walk, leave the shelter now!
context: He burst through every record during the fitness exam\And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now! response:	I cannot promise I will win.
context: And he worked with some Class S heroes to destroy that meteor.\But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win. response:	Run, while I keep him busy!
context: But because he came out of nowhere, people are saying he's a fraud.</>\Any other class C hero I'd stop\This may be our chance to see how strong he truly is.\Saitama, here's the location. Head there immediately.\UNYIELDING JUSTICE\Those who can walk, leave the shelter now!\I cannot promise I will win.\Run, while I keep him busy! response:	None of you monkeys will escape me!
