context: A raid is a large-scale battle response:	with many adventurers, instead of the usual party of six.
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six. response:	The most common type is called a Full Raid,
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid, response:	Full Raid
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid response:	and involves twenty-four players, in four groups of six.
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six. response:	It comes with all the fun of a large-scale battle.
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle. response:	A raid requires more than high levels and good equipment.
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment. response:	You must analyze the opponent and form a plan,
context: A raid is a large-scale battle\with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan, response:	and players must work together to carry out that plan.
context: with many adventurers, instead of the usual party of six.\The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan. response:	You aren't just a random group of people.
context: The most common type is called a Full Raid,\Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people. response:	The most important element is your willingness to trust
context: Full Raid\and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust response:	your companions with your lives.
context: and involves twenty-four players, in four groups of six.\It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives. response:	That means we'll need people.
context: It comes with all the fun of a large-scale battle.\A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives.\That means we'll need people. response:	I know a place we could go.
context: A raid requires more than high levels and good equipment.\You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives.\That means we'll need people.\I know a place we could go. response:	You can't mean...
context: You must analyze the opponent and form a plan,\and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives.\That means we'll need people.\I know a place we could go.\You can't mean... response:	Susukino
context: and players must work together to carry out that plan.\You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives.\That means we'll need people.\I know a place we could go.\You can't mean...\Susukino response:	Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: You aren't just a random group of people.\The most important element is your willingness to trust\your companions with your lives.\That means we'll need people.\I know a place we could go.\You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	The capital of the Ezzo Empire, and the defensive base against the giants.
context: The most important element is your willingness to trust\your companions with your lives.\That means we'll need people.\I know a place we could go.\You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants. response:	This is the fortress city of Susukino.
context: your companions with your lives.\That means we'll need people.\I know a place we could go.\You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino. response:	No guards, huh?
context: That means we'll need people.\I know a place we could go.\You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh? response:	They've gotten lax.
context: I know a place we could go.\You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh?\They've gotten lax. response:	Things change in six months.
context: You can't mean...\Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh?\They've gotten lax.\Things change in six months. response:	A lot of things.
context: Susukino\Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh?\They've gotten lax.\Things change in six months.\A lot of things. response:	Well, good luck, Shiro.
context: Susukino Japan Server Susukino City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh?\They've gotten lax.\Things change in six months.\A lot of things.\Well, good luck, Shiro. response:	Yeah.
context: The capital of the Ezzo Empire, and the defensive base against the giants.\This is the fortress city of Susukino.\No guards, huh?\They've gotten lax.\Things change in six months.\A lot of things.\Well, good luck, Shiro.\Yeah. response:	You, too.
context: This is the fortress city of Susukino.\No guards, huh?\They've gotten lax.\Things change in six months.\A lot of things.\Well, good luck, Shiro.\Yeah.\You, too. response:	The Outlaw and Mithril Eyes
context: No guards, huh?\They've gotten lax.\Things change in six months.\A lot of things.\Well, good luck, Shiro.\Yeah.\You, too.\The Outlaw and Mithril Eyes response:	The Outlaw and Mithril Eyes.
context: They've gotten lax.\Things change in six months.\A lot of things.\Well, good luck, Shiro.\Yeah.\You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes. response:	Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: Things change in six months.\A lot of things.\Well, good luck, Shiro.\Yeah.\You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	Well, here's an unusual guest.
context: A lot of things.\Well, good luck, Shiro.\Yeah.\You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest. response:	William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master
context: Well, good luck, Shiro.\Yeah.\You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master response:	It's been a long time, William Massachusetts.
context: Yeah.\You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts. response:	Call me William...
context: You, too.\The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William... response:	Mr. Shiroe?
context: The Outlaw and Mithril Eyes\The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe? response:	Shiroe is fine.
context: The Outlaw and Mithril Eyes.\Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe?\Shiroe is fine. response:	Along with D.D.D. and the Black Sword Knights,
context: Silver Sword Guild Hall Japan Server Susukino Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights, response:	Silver Sword is one of Akihabara's big combat guilds.
context: Well, here's an unusual guest.\William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds. response:	When the Round Table was formed,
context: William Massachusetts Race/ Elf Assassin, Lv. 95 Silver Sword Guild Master\It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed, response:	they were asked to be one of the participating guilds, but...
context: It's been a long time, William Massachusetts.\Call me William...\Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but... response:	Let those who care about the city solve its problems.
context: Call me William...\Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems. response:	Regardless, we aren't interested.
context: Mr. Shiroe?\Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested. response:	Do it without us.
context: Shiroe is fine.\Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us. response:	They moved their base here, to Susukino, in search of more difficult raids.
context: Along with D.D.D. and the Black Sword Knights,\Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids. response:	Which means that no one's paying attention to them.
context: Silver Sword is one of Akihabara's big combat guilds.\When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them. response:	Right now, he's the only one I can ask.
context: When the Round Table was formed,\they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask. response:	I've come with a request for you,
context: they were asked to be one of the participating guilds, but...\Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you, response:	as the Silver Sword guild master.
context: Let those who care about the city solve its problems.\Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master. response:	Understood. I'm in.
context: Regardless, we aren't interested.\Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in. response:	A man's come all the way out to the ends of the North to ask for my help.
context: Do it without us.\They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help. response:	Wouldn't it be rude to wait to hear what he wanted?
context: They moved their base here, to Susukino, in search of more difficult raids.\Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted? response:	Thanks.
context: Which means that no one's paying attention to them.\Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks. response:	Well?
context: Right now, he's the only one I can ask.\I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well? response:	I'm requesting your participation in a full raid.
context: I've come with a request for you,\as the Silver Sword guild master.\Understood. I'm in.\A man's come all the way out to the ends of the North to ask for my help.\Wouldn't it be rude to wait to hear what he wanted?\Thanks.\Well?\I'm requesting your participation in a full raid. response:	In a new raid zone at the lowest level of the Depths of Palm.
