context: Boy? response:	This can't be...
context: Boy?\This can't be... response:	What's wrong?
context: Boy?\This can't be...\What's wrong? response:	You were spaced out, so I had to pick on you.
context: Boy?\This can't be...\What's wrong?\You were spaced out, so I had to pick on you. response:	Nyow that was a satisfying reaction!
context: Boy?\This can't be...\What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction! response:	Felis?
context: Boy?\This can't be...\What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis? response:	Who else do I look like?
context: Boy?\This can't be...\What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis?\Who else do I look like? response:	Did you inhale too much of the White Whale's fog?
context: Boy?\This can't be...\What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog? response:	Uh, no... I'm fine.
context: This can't be...\What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine. response:	That told me what I wanted to know.
context: What's wrong?\You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know. response:	That means...
context: You were spaced out, so I had to pick on you.\Nyow that was a satisfying reaction!\Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know.\That means... response:	My save point was updated?
context: Nyow that was a satisfying reaction!\Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know.\That means...\My save point was updated? response:	There are a few new things
context: Felis?\Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know.\That means...\My save point was updated?\There are a few new things response:	I've realized about the Witch's Cult.
context: Who else do I look like?\Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know.\That means...\My save point was updated?\There are a few new things\I've realized about the Witch's Cult. response:	Does anyone know of, like...
context: Did you inhale too much of the White Whale's fog?\Uh, no... I'm fine.\That told me what I wanted to know.\That means...\My save point was updated?\There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like... response:	a power you can use to overwrite someone's consciousness,
context: Uh, no... I'm fine.\That told me what I wanted to know.\That means...\My save point was updated?\There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness, response:	so you psychologically possess them?
context: That told me what I wanted to know.\That means...\My save point was updated?\There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them? response:	In other words,
context: That means...\My save point was updated?\There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words, response:	you think the Sin Archbishops may have such an ability?
context: My save point was updated?\There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability? response:	Yeah, I call it possession.
context: There are a few new things\I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession. response:	It's how he stays alive.
context: I've realized about the Witch's Cult.\Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive. response:	It would explain how he keeps popping up everywhere, right?
context: Does anyone know of, like...\a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right? response:	In an old book, I saw a research account of a similar subject.
context: a power you can use to overwrite someone's consciousness,\so you psychologically possess them?\In other words,\you think the Sin Archbishops may have such an ability?\Yeah, I call it possession.\It's how he stays alive.\It would explain how he keeps popping up everywhere, right?\In an old book, I saw a research account of a similar subject. response:	It's a magic that has been lost,
