context: I begin my weekends by feeding the birds. response:	After that, I go jogging.
context: I begin my weekends by feeding the birds.\After that, I go jogging. response:	Burnable trash.
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash. response:	Recyclable trash.
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash.\Recyclable trash. response:	And then I go home to shower.
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash.\Recyclable trash.\And then I go home to shower. response:	After all that, I normally clean and have breakfast, and then I'm done.
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash.\Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done. response:	But today,
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash.\Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today, response:	Chizu-chan and Ayane-chan are coming over.
context: I begin my weekends by feeding the birds.\After that, I go jogging.\Burnable trash.\Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over. response:	Your friends are coming over today, aren't they?
context: After that, I go jogging.\Burnable trash.\Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they? response:	They're here.
context: Burnable trash.\Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here. response:	Oh no!
context: Recyclable trash.\And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here.\Oh no! response:	Dad will get it.
context: And then I go home to shower.\After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here.\Oh no!\Dad will get it. response:	Sawako's old man?
context: After all that, I normally clean and have breakfast, and then I'm done.\But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here.\Oh no!\Dad will get it.\Sawako's old man? response:	Punk!
context: But today,\Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here.\Oh no!\Dad will get it.\Sawako's old man?\Punk! response:	He looks just like her!
context: Chizu-chan and Ayane-chan are coming over.\Your friends are coming over today, aren't they?\They're here.\Oh no!\Dad will get it.\Sawako's old man?\Punk!\He looks just like her! response:	Where are your manners?
context: Your friends are coming over today, aren't they?\They're here.\Oh no!\Dad will get it.\Sawako's old man?\Punk!\He looks just like her!\Where are your manners? response:	Greet him.
context: They're here.\Oh no!\Dad will get it.\Sawako's old man?\Punk!\He looks just like her!\Where are your manners?\Greet him. response:	's-sup.
context: Oh no!\Dad will get it.\Sawako's old man?\Punk!\He looks just like her!\Where are your manners?\Greet him.\'s-sup. response:	Y-You're Sawako's friends?
context: Dad will get it.\Sawako's old man?\Punk!\He looks just like her!\Where are your manners?\Greet him.\'s-sup.\Y-You're Sawako's friends? response:	The other one seems to be pretty normal, though she's got a lot of makeup on.
context: Sawako's old man?\Punk!\He looks just like her!\Where are your manners?\Greet him.\'s-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on. response:	Hello,
context: Punk!\He looks just like her!\Where are your manners?\Greet him.\'s-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello, response:	I'm her classmate, Yano.
context: He looks just like her!\Where are your manners?\Greet him.\'s-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano. response:	How many piercings does she have?!
context: Where are your manners?\Greet him.\'s-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano.\How many piercings does she have?! response:	Her friends?
context: Greet him.\'s-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano.\How many piercings does she have?!\Her friends? response:	Chizu-chan, Ayane-chan.
context: 's-sup.\Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano.\How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan. response:	Come in, I was baking a cake.
context: Y-You're Sawako's friends?\The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano.\How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake. response:	Homemade?
context: The other one seems to be pretty normal, though she's got a lot of makeup on.\Hello,\I'm her classmate, Yano.\How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade? response:	Seriously?
context: Hello,\I'm her classmate, Yano.\How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade?\Seriously? response:	Shoot, I brought some too.
context: I'm her classmate, Yano.\How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade?\Seriously?\Shoot, I brought some too. response:	Cake!
context: How many piercings does she have?!\Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade?\Seriously?\Shoot, I brought some too.\Cake! response:	I should have made something savory.
context: Her friends?\Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade?\Seriously?\Shoot, I brought some too.\Cake!\I should have made something savory. response:	I'm so inconsiderate.
context: Chizu-chan, Ayane-chan.\Come in, I was baking a cake.\Homemade?\Seriously?\Shoot, I brought some too.\Cake!\I should have made something savory.\I'm so inconsiderate. response:	I like homemade cake more.
context: Come in, I was baking a cake.\Homemade?\Seriously?\Shoot, I brought some too.\Cake!\I should have made something savory.\I'm so inconsiderate.\I like homemade cake more. response:	I'll eat as much as you want me to.
context: Homemade?\Seriously?\Shoot, I brought some too.\Cake!\I should have made something savory.\I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to. response:	Don't, you'll get fat.
context: Seriously?\Shoot, I brought some too.\Cake!\I should have made something savory.\I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat. response:	Well well, don't just stand at the door, do come in.
context: Shoot, I brought some too.\Cake!\I should have made something savory.\I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in. response:	This is my mom.
context: Cake!\I should have made something savory.\I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom. response:	This is my dad.
context: I should have made something savory.\I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad. response:	Hi.
context: I'm so inconsiderate.\I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad.\Hi. response:	Would you two please have this?
context: I like homemade cake more.\I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad.\Hi.\Would you two please have this? response:	My, my, thank you.
context: I'll eat as much as you want me to.\Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad.\Hi.\Would you two please have this?\My, my, thank you. response:	Yano Ayane-chan and Yoshida Chizuru-chan.
context: Don't, you'll get fat.\Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad.\Hi.\Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan. response:	Nice to finally meet you.
context: Well well, don't just stand at the door, do come in.\This is my mom.\This is my dad.\Hi.\Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you. response:	It really is.
context: This is my mom.\This is my dad.\Hi.\Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is. response:	Nice to finally meet you too.
context: This is my dad.\Hi.\Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is.\Nice to finally meet you too. response:	She saved her from bombing a class.
context: Hi.\Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is.\Nice to finally meet you too.\She saved her from bombing a class. response:	You're embarrassing me, Yano-chin.
context: Would you two please have this?\My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is.\Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin. response:	Your room's actually pretty colorful.
context: My, my, thank you.\Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is.\Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful. response:	I figured no one would be bothered if my room suits me or not.
context: Yano Ayane-chan and Yoshida Chizuru-chan.\Nice to finally meet you.\It really is.\Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not. response:	You're seriously over-thinking it.
context: Nice to finally meet you.\It really is.\Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it. response:	Hey look, pictures.
context: It really is.\Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures. response:	I was looking through pictures of the trip, and you were in these ones.
context: Nice to finally meet you too.\She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones. response:	You sure there are no ghosts in these photos?
context: She saved her from bombing a class.\You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos? response:	That's perfect then. Here, a gift.
context: You're embarrassing me, Yano-chin.\Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift. response:	From the party.
context: Your room's actually pretty colorful.\I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party. response:	They're pretty good, right?
context: I figured no one would be bothered if my room suits me or not.\You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party.\They're pretty good, right? response:	Wow, they don't look creepy.
context: You're seriously over-thinking it.\Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party.\They're pretty good, right?\Wow, they don't look creepy. response:	We're so close together.
context: Hey look, pictures.\I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party.\They're pretty good, right?\Wow, they don't look creepy.\We're so close together. response:	Wow.
context: I was looking through pictures of the trip, and you were in these ones.\You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party.\They're pretty good, right?\Wow, they don't look creepy.\We're so close together.\Wow. response:	Look through them more.
context: You sure there are no ghosts in these photos?\That's perfect then. Here, a gift.\From the party.\They're pretty good, right?\Wow, they don't look creepy.\We're so close together.\Wow.\Look through them more. response:	When did I do something so rude?!
context: That's perfect then. Here, a gift.\From the party.\They're pretty good, right?\Wow, they don't look creepy.\We're so close together.\Wow.\Look through them more.\When did I do something so rude?! response:	Yano-chin sneaked that picture of you.
context: From the party.\They're pretty good, right?\Wow, they don't look creepy.\We're so close together.\Wow.\Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you. response:	Not bad, right? You look like a couple.
context: They're pretty good, right?\Wow, they don't look creepy.\We're so close together.\Wow.\Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple. response:	I-I must have been heavy.
context: Wow, they don't look creepy.\We're so close together.\Wow.\Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy. response:	Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl.
context: We're so close together.\Wow.\Look through them more.\When did I do something so rude?!\Yano-chin sneaked that picture of you.\Not bad, right? You look like a couple.\I-I must have been heavy.\Come on, as much of a loser as he is, it'd be sad if he couldn't hold up one girl. response:	That's so mean.
