context: Many Future Paths!! The Circumstances Everyone Bears response:	I'm breaking up with you.
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you. response:	I can't go out with someone like you anymore!
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore! response:	Breaking up...
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up... response:	Who is?
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up...\Who is? response:	I am?
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up...\Who is?\I am? response:	Otani and I are breaking up?
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up...\Who is?\I am?\Otani and I are breaking up? response:	Stuff like that is the very reason Otani is fed up with you!
context: Many Future Paths!! The Circumstances Everyone Bears\I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up...\Who is?\I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you! response:	Honestly, what the heck were thinking leaving your boyfriend behind,
context: I'm breaking up with you.\I can't go out with someone like you anymore!\Breaking up...\Who is?\I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind, response:	It wasn't like that...
context: I can't go out with someone like you anymore!\Breaking up...\Who is?\I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that... response:	What? Was my account inaccurate?
context: Breaking up...\Who is?\I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate? response:	No...
context: Who is?\I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate?\No... response:	Nobu-chan!
context: I am?\Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate?\No...\Nobu-chan! response:	What should I do?
context: Otani and I are breaking up?\Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate?\No...\Nobu-chan!\What should I do? response:	I don't care. You reap what you sow.
context: Stuff like that is the very reason Otani is fed up with you!\Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate?\No...\Nobu-chan!\What should I do?\I don't care. You reap what you sow. response:	Figure it out yourself.
context: Honestly, what the heck were thinking leaving your boyfriend behind,\It wasn't like that...\What? Was my account inaccurate?\No...\Nobu-chan!\What should I do?\I don't care. You reap what you sow.\Figure it out yourself. response:	I guess you're right.
context: It wasn't like that...\What? Was my account inaccurate?\No...\Nobu-chan!\What should I do?\I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right. response:	It'll be all right Risa-chan.
context: What? Was my account inaccurate?\No...\Nobu-chan!\What should I do?\I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan. response:	If you keep apologizing, I'm sure he'll forgive you.
context: No...\Nobu-chan!\What should I do?\I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you. response:	I didn't mean to cheat on him, but...
context: Nobu-chan!\What should I do?\I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but... response:	That really was the wrong thing to do.
context: What should I do?\I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do. response:	There should be a limit to my stupidity.
context: I don't care. You reap what you sow.\Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity. response:	Otani!
context: Figure it out yourself.\I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani! response:	Otani, I'm sorry.
context: I guess you're right.\It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani!\Otani, I'm sorry. response:	What for?
context: It'll be all right Risa-chan.\If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani!\Otani, I'm sorry.\What for? response:	I'm sorry for going out with that other guy.
context: If you keep apologizing, I'm sure he'll forgive you.\I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani!\Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy. response:	I'm not going to do anything that stupid ever again.
context: I didn't mean to cheat on him, but...\That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani!\Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again. response:	It's fine.
context: That really was the wrong thing to do.\There should be a limit to my stupidity.\Otani!\Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine. response:	You can go out as much as you want.
context: There should be a limit to my stupidity.\Otani!\Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want. response:	It's got nothing to do with me.
context: Otani!\Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want.\It's got nothing to do with me. response:	Hey! Wait!
context: Otani, I'm sorry.\What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait! response:	Don't say that!
context: What for?\I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait!\Don't say that! response:	What's your problem?!
context: I'm sorry for going out with that other guy.\I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait!\Don't say that!\What's your problem?! response:	I'm really sorry!
context: I'm not going to do anything that stupid ever again.\It's fine.\You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait!\Don't say that!\What's your problem?!\I'm really sorry! response:	Please don't break up with me!
context: It's fine.\You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait!\Don't say that!\What's your problem?!\I'm really sorry!\Please don't break up with me! response:	Shut up! A man never goes back on his word.
context: You can go out as much as you want.\It's got nothing to do with me.\Hey! Wait!\Don't say that!\What's your problem?!\I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word. response:	Don't say that.
context: It's got nothing to do with me.\Hey! Wait!\Don't say that!\What's your problem?!\I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that. response:	There's no need to act all macho now!
context: Hey! Wait!\Don't say that!\What's your problem?!\I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now! response:	This only happened because you did something you shouldn't have, right?
context: Don't say that!\What's your problem?!\I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right? response:	That's why I'm apologizing!
context: What's your problem?!\I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing! response:	There are things that can be fixed with an apology, and things that can't.
context: I'm really sorry!\Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't. response:	Then what do you want me to do?
context: Please don't break up with me!\Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do? response:	Do whatever you want.
context: Shut up! A man never goes back on his word.\Don't say that.\There's no need to act all macho now!\This only happened because you did something you shouldn't have, right?\That's why I'm apologizing!\There are things that can be fixed with an apology, and things that can't.\Then what do you want me to do?\Do whatever you want. response:	You're a stranger to me from now on.
