context: Well then, let's get started. response:	Hey hey, wait a second!
context: Well then, let's get started.\Hey hey, wait a second! response:	Since when were you on our side?
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side? response:	It's a bit late to be saying that.
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that. response:	I'm here to take your worthless place.
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place. response:	Have you forgotten?
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten? response:	Hurry up and vanish like the miserable toilet paper you are.
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are. response:	What was that?!
context: Well then, let's get started.\Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?! response:	You know guys, Kanade is doing her best for us.
context: Hey hey, wait a second!\Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us. response:	We're going to see all the Battlefront members with the time she's bought us.
context: Since when were you on our side?\It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us. response:	Why are you all here?
context: It's a bit late to be saying that.\I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here? response:	This is enough for us.
context: I'm here to take your worthless place.\Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us. response:	We've come to accept what you said.
context: Have you forgotten?\Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us.\We've come to accept what you said. response:	It helped us come to a resolution.
context: Hurry up and vanish like the miserable toilet paper you are.\What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us.\We've come to accept what you said.\It helped us come to a resolution. response:	That's the kind of group we are.
context: What was that?!\You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us.\We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are. response:	Though, we really knew it without being told.
context: You know guys, Kanade is doing her best for us.\We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us.\We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told. response:	Anyway, we don't even have a vocalist anymore.
context: We're going to see all the Battlefront members with the time she's bought us.\Why are you all here?\This is enough for us.\We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore. response:	There's no one to replace Iwasawa - san and Yui.
context: Why are you all here?\This is enough for us.\We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui. response:	Though she seriously was terrible...
context: This is enough for us.\We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible... response:	Every day was as fun as a cultural festival.
context: We've come to accept what you said.\It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival. response:	It's going to be tough convincing the others though.
context: It helped us come to a resolution.\That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though. response:	Probably.
context: That's the kind of group we are.\Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably. response:	If you're going to do this, finish the job.
context: Though, we really knew it without being told.\Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job. response:	If you don't, we'll have accepted this for no reason.
context: Anyway, we don't even have a vocalist anymore.\There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason. response:	If this Battlefront that's lasted this long is going to disappear,
context: There's no one to replace Iwasawa - san and Yui.\Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear, response:	I want this world, including you, to have fulfilled its purpose.
context: Though she seriously was terrible...\Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose. response:	Then I can leave thinking everything ended well.
context: Every day was as fun as a cultural festival.\It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well. response:	I just think...
context: It's going to be tough convincing the others though.\Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think... response:	if the short time we spent here was just for us to enjoy the youth we never had...
context: Probably.\If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had... response:	That alone would be enough.
context: If you're going to do this, finish the job.\If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough. response:	What are you talking about?
context: If you don't, we'll have accepted this for no reason.\If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about? response:	You're not making sense.
context: If this Battlefront that's lasted this long is going to disappear,\I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about?\You're not making sense. response:	I guess so.
context: I want this world, including you, to have fulfilled its purpose.\Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about?\You're not making sense.\I guess so. response:	Well whatever happens, I'm not responsible.
context: Then I can leave thinking everything ended well.\I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about?\You're not making sense.\I guess so.\Well whatever happens, I'm not responsible. response:	We're going now, and that's all.
context: I just think...\if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about?\You're not making sense.\I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all. response:	See ya, newbie.
context: if the short time we spent here was just for us to enjoy the youth we never had...\That alone would be enough.\What are you talking about?\You're not making sense.\I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie. response:	We'll form a band in the next life too.
context: That alone would be enough.\What are you talking about?\You're not making sense.\I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too. response:	Yeah, I'm sure I'll be a fan again.
context: What are you talking about?\You're not making sense.\I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again. response:	See ya.
context: You're not making sense.\I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya. response:	Good work seeing off the last of the commoners.
context: I guess so.\Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners. response:	Your character has definitely broken down!
context: Well whatever happens, I'm not responsible.\We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down! response:	It has not broken down!
context: We're going now, and that's all.\See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down! response:	How dare you say that to your God?!
context: See ya, newbie.\We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?! response:	Stop messing around, we should go.
context: We'll form a band in the next life too.\Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go. response:	Why are there so many of them?
context: Yeah, I'm sure I'll be a fan again.\See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them? response:	What's going on?
context: See ya.\Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them?\What's going on? response:	What happened to the NPCs?
context: Good work seeing off the last of the commoners.\Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them?\What's going on?\What happened to the NPCs? response:	I don't see anyone but these things around here.
context: Your character has definitely broken down!\It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them?\What's going on?\What happened to the NPCs?\I don't see anyone but these things around here. response:	They don't know what we're trying to do, do they?
context: It has not broken down!\How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them?\What's going on?\What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they? response:	Lowlifes.
context: How dare you say that to your God?!\Stop messing around, we should go.\Why are there so many of them?\What's going on?\What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes. response:	Noda?
context: Stop messing around, we should go.\Why are there so many of them?\What's going on?\What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes.\Noda? response:	Way to go, Noda!
context: Why are there so many of them?\What's going on?\What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes.\Noda?\Way to go, Noda! response:	Are you here to fight with us?
context: What's going on?\What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes.\Noda?\Way to go, Noda!\Are you here to fight with us? response:	Don't be stupid!
context: What happened to the NPCs?\I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes.\Noda?\Way to go, Noda!\Are you here to fight with us?\Don't be stupid! response:	I only move to help Yurippe!
context: I don't see anyone but these things around here.\They don't know what we're trying to do, do they?\Lowlifes.\Noda?\Way to go, Noda!\Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe! response:	I see...
context: They don't know what we're trying to do, do they?\Lowlifes.\Noda?\Way to go, Noda!\Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe!\I see... response:	So you're a pretty faithful guy too!
context: Lowlifes.\Noda?\Way to go, Noda!\Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe!\I see...\So you're a pretty faithful guy too! response:	Oyama!
context: Noda?\Way to go, Noda!\Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe!\I see...\So you're a pretty faithful guy too!\Oyama! response:	There's nothing special about me at all,
context: Way to go, Noda!\Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe!\I see...\So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all, response:	but I thought maybe I could give God a surprise if I helped out here!
context: Are you here to fight with us?\Don't be stupid!\I only move to help Yurippe!\I see...\So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here! response:	Yeah, you show him!
context: Don't be stupid!\I only move to help Yurippe!\I see...\So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him! response:	Don't be forgetting about me now.
context: I only move to help Yurippe!\I see...\So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now. response:	Though, it doesn't seem like anyone would notice if I disappeared!
context: I see...\So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared! response:	In the end
context: So you're a pretty faithful guy too!\Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end response:	Come on come on come on come on come on!!
context: Oyama!\There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!! response:	Knockin' on heaven's door.
context: There's nothing special about me at all,\but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!!\Knockin' on heaven's door. response:	That's a Bob Dylan song...
context: but I thought maybe I could give God a surprise if I helped out here!\Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song... response:	But it's perfect for this situation.
context: Yeah, you show him!\Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation. response:	What does it mean?
context: Don't be forgetting about me now.\Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean? response:	No idea!
context: Though, it doesn't seem like anyone would notice if I disappeared!\In the end\Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean?\No idea! response:	Looks like everyone's showing up...
context: In the end\Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean?\No idea!\Looks like everyone's showing up... response:	What's wrong with this world?
context: Come on come on come on come on come on!!\Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean?\No idea!\Looks like everyone's showing up...\What's wrong with this world? response:	What on earth happened?
context: Knockin' on heaven's door.\That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean?\No idea!\Looks like everyone's showing up...\What's wrong with this world?\What on earth happened? response:	More like, what happened to you?
context: That's a Bob Dylan song...\But it's perfect for this situation.\What does it mean?\No idea!\Looks like everyone's showing up...\What's wrong with this world?\What on earth happened?\More like, what happened to you? response:	Who are you?
context: But it's perfect for this situation.\What does it mean?\No idea!\Looks like everyone's showing up...\What's wrong with this world?\What on earth happened?\More like, what happened to you?\Who are you? response:	I was training in the mountains for a while, but there wasn't much food.
