context: Oh. So this is where you went. response:	If you stay in a place like this you'll catch a cold.
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold. response:	Why...?
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...? response:	You idiot.
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...?\You idiot. response:	What's so funny, dammit?!
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...?\You idiot.\What's so funny, dammit?! response:	I don't know.
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...?\You idiot.\What's so funny, dammit?!\I don't know. response:	Maybe someone like you is more suited for me.
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...?\You idiot.\What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me. response:	Before we go home, let's go to that karaoke place by the train station again.
context: Oh. So this is where you went.\If you stay in a place like this you'll catch a cold.\Why...?\You idiot.\What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again. response:	Every time Otani says or does something,
context: If you stay in a place like this you'll catch a cold.\Why...?\You idiot.\What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something, response:	My whole world has been revolving around Otani, going round and round.
context: Why...?\You idiot.\What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round. response:	Recapture Love! Improve as a Girl With Winning Chocolate!!
context: You idiot.\What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!! response:	So, I've been rejected once already...
context: What's so funny, dammit?!\I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already... response:	And I haven't got much confidence left, but...
context: I don't know.\Maybe someone like you is more suited for me.\Before we go home, let's go to that karaoke place by the train station again.\Every time Otani says or does something,\My whole world has been revolving around Otani, going round and round.\Recapture Love! Improve as a Girl With Winning Chocolate!!\So, I've been rejected once already...\And I haven't got much confidence left, but... response:	I was thinking Maybe Koizumi is crying again, or something along those lines.
