context: Caramel Waffles with Apples and Nuts response:	Thanks for waiting!
context: Caramel Waffles with Apples and Nuts\Thanks for waiting! response:	Here are your caramel waffles with apples and nuts!
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts! response:	Wow! I've always wanted to try this!
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this! response:	Oh, boy! This is amazing! Hey, where...
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where... response:	Huh?
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh? response:	Where should I start?
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start? response:	Hmm...
context: Caramel Waffles with Apples and Nuts\Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start?\Hmm... response:	Should I take a picture?
context: Thanks for waiting!\Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start?\Hmm...\Should I take a picture? response:	First I was an extra... now I'm a substitute, huh?
context: Here are your caramel waffles with apples and nuts!\Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start?\Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh? response:	Okay! That's all she wrote!
context: Wow! I've always wanted to try this!\Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start?\Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote! response:	Is baking sweets your hobby or something?
context: Oh, boy! This is amazing! Hey, where...\Huh?\Where should I start?\Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something? response:	No, no... I don't make them.
context: Huh?\Where should I start?\Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them. response:	So...good!
context: Where should I start?\Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them.\So...good! response:	She's such an amazing musician, but all she looks like now is an ordinary girl.
context: Hmm...\Should I take a picture?\First I was an extra... now I'm a substitute, huh?\Okay! That's all she wrote!\Is baking sweets your hobby or something?\No, no... I don't make them.\So...good!\She's such an amazing musician, but all she looks like now is an ordinary girl. response:	Hey... I thought it was just a prop, but you can really play it, huh?
